timestamp,value,rating
"Sun, 17 October",118,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Mon, 18 October",89,AQI US - Trung bình
"Tue, 19 October",110,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Wed, 20 October",141,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Thu, 21 October",107,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Fri, 22 October",129,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Sat, 23 October",99,AQI US - Trung bình
"Sun, 24 October",82,AQI US - Trung bình
"Mon, 25 October",78,AQI US - Trung bình
"Tue, 26 October",141,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Wed, 27 October",105,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Thu, 28 October",82,AQI US - Trung bình
"Fri, 29 October",116,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Sat, 30 October",96,AQI US - Trung bình
"Sun, 31 October",134,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Mon, 01 November",115,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Tue, 02 November",120,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Wed, 03 November",115,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Thu, 04 November",94,AQI US - Trung bình
"Fri, 05 November",110,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Sat, 06 November",135,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Sun, 07 November",101,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Mon, 08 November",97,AQI US - Trung bình
"Tue, 09 November",142,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Wed, 10 November",74,AQI US - Trung bình
"Thu, 11 November",94,AQI US - Trung bình
"Fri, 12 November",152,AQI US - Không lành mạnh
"Sat, 13 November",80,AQI US - Trung bình
"Sun, 14 November",95,AQI US - Trung bình
"Mon, 15 November",116,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Tue, 16 November",160,AQI US - Không lành mạnh
"Wed, 17 November",154,AQI US - Không lành mạnh
"Thu, 18 November",161,AQI US - Không lành mạnh
"Fri, 19 November",114,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Sat, 20 November",157,AQI US - Không lành mạnh
