timestamp,value,rating
"14 Nov, 6:00 PM",98,AQI US - Trung bình
"14 Nov, 7:00 PM",116,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"14 Nov, 8:00 PM",122,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"14 Nov, 9:00 PM",118,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"14 Nov, 10:00 PM",115,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"14 Nov, 11:00 PM",134,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 12:00 AM",141,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 1:00 AM",75,AQI US - Trung bình
"15 Nov, 2:00 AM",94,AQI US - Trung bình
"15 Nov, 3:00 AM",77,AQI US - Trung bình
"15 Nov, 4:00 AM",71,AQI US - Trung bình
"15 Nov, 5:00 AM",77,AQI US - Trung bình
"15 Nov, 6:00 AM",129,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 7:00 AM",156,AQI US - Không lành mạnh
"15 Nov, 8:00 AM",158,AQI US - Không lành mạnh
"15 Nov, 9:00 AM",157,AQI US - Không lành mạnh
"15 Nov, 10:00 AM",108,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 11:00 AM",88,AQI US - Trung bình
"15 Nov, 12:00 PM",63,AQI US - Trung bình
"15 Nov, 1:00 PM",63,AQI US - Trung bình
"15 Nov, 2:00 PM",74,AQI US - Trung bình
"15 Nov, 3:00 PM",98,AQI US - Trung bình
"15 Nov, 4:00 PM",118,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 5:00 PM",154,AQI US - Không lành mạnh
"15 Nov, 6:00 PM",155,AQI US - Không lành mạnh
"15 Nov, 7:00 PM",155,AQI US - Không lành mạnh
"15 Nov, 8:00 PM",156,AQI US - Không lành mạnh
"15 Nov, 9:00 PM",78,AQI US - Trung bình
"15 Nov, 10:00 PM",63,AQI US - Trung bình
"15 Nov, 11:00 PM",73,AQI US - Trung bình
"16 Nov, 12:00 AM",101,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"16 Nov, 1:00 AM",120,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"16 Nov, 2:00 AM",146,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"16 Nov, 3:00 AM",113,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"16 Nov, 4:00 AM",103,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"16 Nov, 5:00 AM",92,AQI US - Trung bình
"16 Nov, 6:00 AM",103,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"16 Nov, 7:00 AM",155,AQI US - Không lành mạnh
"16 Nov, 8:00 AM",155,AQI US - Không lành mạnh
"16 Nov, 9:00 AM",151,AQI US - Không lành mạnh
"16 Nov, 10:00 AM",160,AQI US - Không lành mạnh
"16 Nov, 11:00 AM",155,AQI US - Không lành mạnh
"16 Nov, 12:00 PM",82,AQI US - Trung bình
"16 Nov, 1:00 PM",82,AQI US - Trung bình
"16 Nov, 2:00 PM",61,AQI US - Trung bình
"16 Nov, 3:00 PM",53,AQI US - Trung bình
"16 Nov, 4:00 PM",61,AQI US - Trung bình
"16 Nov, 5:00 PM",63,AQI US - Trung bình
"16 Nov, 6:00 PM",133,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"16 Nov, 7:00 PM",163,AQI US - Không lành mạnh
"16 Nov, 8:00 PM",157,AQI US - Không lành mạnh
"16 Nov, 9:00 PM",158,AQI US - Không lành mạnh
"16 Nov, 10:00 PM",172,AQI US - Không lành mạnh
"16 Nov, 11:00 PM",185,AQI US - Không lành mạnh
"17 Nov, 12:00 AM",190,AQI US - Không lành mạnh
"17 Nov, 1:00 AM",194,AQI US - Không lành mạnh
"17 Nov, 2:00 AM",197,AQI US - Không lành mạnh
"17 Nov, 3:00 AM",187,AQI US - Không lành mạnh
"17 Nov, 4:00 AM",169,AQI US - Không lành mạnh
"17 Nov, 5:00 AM",163,AQI US - Không lành mạnh
"17 Nov, 6:00 AM",177,AQI US - Không lành mạnh
"17 Nov, 7:00 AM",173,AQI US - Không lành mạnh
"17 Nov, 8:00 AM",169,AQI US - Không lành mạnh
"17 Nov, 9:00 AM",145,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"17 Nov, 10:00 AM",86,AQI US - Trung bình
"17 Nov, 11:00 AM",96,AQI US - Trung bình
"17 Nov, 12:00 PM",121,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"17 Nov, 1:00 PM",109,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"17 Nov, 2:00 PM",116,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"17 Nov, 3:00 PM",131,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"17 Nov, 4:00 PM",162,AQI US - Không lành mạnh
"17 Nov, 5:00 PM",115,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"17 Nov, 6:00 PM",162,AQI US - Không lành mạnh
"17 Nov, 7:00 PM",188,AQI US - Không lành mạnh
"17 Nov, 8:00 PM",171,AQI US - Không lành mạnh
"17 Nov, 9:00 PM",157,AQI US - Không lành mạnh
"17 Nov, 10:00 PM",163,AQI US - Không lành mạnh
"17 Nov, 11:00 PM",158,AQI US - Không lành mạnh
"18 Nov, 12:00 AM",157,AQI US - Không lành mạnh
"18 Nov, 1:00 AM",144,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"18 Nov, 2:00 AM",133,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"18 Nov, 3:00 AM",105,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"18 Nov, 4:00 AM",93,AQI US - Trung bình
"18 Nov, 5:00 AM",152,AQI US - Không lành mạnh
"18 Nov, 6:00 AM",156,AQI US - Không lành mạnh
"18 Nov, 7:00 AM",166,AQI US - Không lành mạnh
"18 Nov, 8:00 AM",158,AQI US - Không lành mạnh
"18 Nov, 9:00 AM",153,AQI US - Không lành mạnh
"18 Nov, 10:00 AM",139,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"18 Nov, 11:00 AM",111,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"18 Nov, 12:00 PM",118,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"18 Nov, 1:00 PM",90,AQI US - Trung bình
"18 Nov, 2:00 PM",67,AQI US - Trung bình
"18 Nov, 3:00 PM",84,AQI US - Trung bình
"18 Nov, 4:00 PM",111,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"18 Nov, 5:00 PM",72,AQI US - Trung bình
"18 Nov, 6:00 PM",82,AQI US - Trung bình
"18 Nov, 7:00 PM",170,AQI US - Không lành mạnh
"18 Nov, 9:00 PM",195,AQI US - Không lành mạnh
"18 Nov, 10:00 PM",180,AQI US - Không lành mạnh
"18 Nov, 11:00 PM",260,AQI US - Rất không lành mạnh
"19 Nov, 12:00 AM",194,AQI US - Không lành mạnh
"19 Nov, 1:00 AM",190,AQI US - Không lành mạnh
"19 Nov, 2:00 AM",173,AQI US - Không lành mạnh
"19 Nov, 3:00 AM",176,AQI US - Không lành mạnh
"19 Nov, 4:00 AM",164,AQI US - Không lành mạnh
"19 Nov, 5:00 AM",151,AQI US - Không lành mạnh
"19 Nov, 6:00 AM",152,AQI US - Không lành mạnh
"19 Nov, 7:00 AM",149,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"19 Nov, 8:00 AM",126,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"19 Nov, 9:00 AM",81,AQI US - Trung bình
"19 Nov, 10:00 AM",59,AQI US - Trung bình
"19 Nov, 11:00 AM",55,AQI US - Trung bình
"19 Nov, 12:00 PM",45,AQI US - Tốt
"19 Nov, 1:00 PM",45,AQI US - Tốt
"19 Nov, 2:00 PM",65,AQI US - Trung bình
"19 Nov, 3:00 PM",86,AQI US - Trung bình
"19 Nov, 4:00 PM",92,AQI US - Trung bình
"19 Nov, 5:00 PM",138,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"19 Nov, 6:00 PM",163,AQI US - Không lành mạnh
"19 Nov, 7:00 PM",172,AQI US - Không lành mạnh
"19 Nov, 8:00 PM",158,AQI US - Không lành mạnh
"19 Nov, 9:00 PM",80,AQI US - Trung bình
"19 Nov, 10:00 PM",78,AQI US - Trung bình
"19 Nov, 11:00 PM",104,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"20 Nov, 4:00 AM",160,AQI US - Không lành mạnh
"20 Nov, 5:00 AM",119,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"20 Nov, 6:00 AM",154,AQI US - Không lành mạnh
"20 Nov, 7:00 AM",171,AQI US - Không lành mạnh
"20 Nov, 8:00 AM",170,AQI US - Không lành mạnh
"20 Nov, 9:00 AM",163,AQI US - Không lành mạnh
"20 Nov, 10:00 AM",171,AQI US - Không lành mạnh
"20 Nov, 11:00 AM",166,AQI US - Không lành mạnh
"20 Nov, 12:00 PM",160,AQI US - Không lành mạnh
"20 Nov, 1:00 PM",126,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"20 Nov, 2:00 PM",96,AQI US - Trung bình
"20 Nov, 3:00 PM",153,AQI US - Không lành mạnh
"20 Nov, 4:00 PM",134,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"20 Nov, 5:00 PM",117,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"20 Nov, 6:00 PM",145,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"20 Nov, 10:00 PM",178,AQI US - Không lành mạnh
"21 Nov, 2:00 AM",241,AQI US - Rất không lành mạnh
"21 Nov, 3:00 AM",234,AQI US - Rất không lành mạnh
"21 Nov, 4:00 AM",221,AQI US - Rất không lành mạnh
"21 Nov, 5:00 AM",203,AQI US - Rất không lành mạnh
"21 Nov, 6:00 AM",211,AQI US - Rất không lành mạnh
"21 Nov, 7:00 AM",203,AQI US - Rất không lành mạnh
