timestamp,value,rating
"Sun, 17 October",56,AQI US - Trung bình
"Mon, 18 October",41,AQI US - Tốt
"Tue, 19 October",54,AQI US - Trung bình
"Wed, 20 October",100,AQI US - Trung bình
"Thu, 21 October",72,AQI US - Trung bình
"Fri, 22 October",74,AQI US - Trung bình
"Sat, 23 October",83,AQI US - Trung bình
"Sun, 24 October",67,AQI US - Trung bình
"Mon, 25 October",63,AQI US - Trung bình
"Tue, 26 October",73,AQI US - Trung bình
"Wed, 27 October",65,AQI US - Trung bình
"Thu, 28 October",57,AQI US - Trung bình
"Fri, 29 October",77,AQI US - Trung bình
"Sat, 30 October",74,AQI US - Trung bình
"Sun, 31 October",73,AQI US - Trung bình
"Mon, 01 November",81,AQI US - Trung bình
"Tue, 02 November",91,AQI US - Trung bình
"Wed, 03 November",70,AQI US - Trung bình
"Thu, 04 November",56,AQI US - Trung bình
"Fri, 05 November",93,AQI US - Trung bình
"Sat, 06 November",68,AQI US - Trung bình
"Sun, 07 November",69,AQI US - Trung bình
"Mon, 08 November",56,AQI US - Trung bình
"Tue, 09 November",97,AQI US - Trung bình
"Wed, 10 November",58,AQI US - Trung bình
"Thu, 11 November",72,AQI US - Trung bình
"Fri, 12 November",56,AQI US - Trung bình
"Sat, 13 November",70,AQI US - Trung bình
"Sun, 14 November",84,AQI US - Trung bình
"Mon, 15 November",72,AQI US - Trung bình
"Tue, 16 November",66,AQI US - Trung bình
"Wed, 17 November",115,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Thu, 18 November",105,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Fri, 19 November",82,AQI US - Trung bình
"Sat, 20 November",117,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Sun, 21 November",120,AQI US - Không lành mạnh cho các nhóm nhạy cảm
