timestamp,value,rating
"14 Nov, 7:00 PM",33,AQI US - Tốt
"14 Nov, 8:00 PM",53,AQI US - Trung bình
"14 Nov, 9:00 PM",75,AQI US - Trung bình
"14 Nov, 10:00 PM",92,AQI US - Trung bình
"14 Nov, 11:00 PM",108,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 12:00 AM",110,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 1:00 AM",105,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 2:00 AM",115,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 3:00 AM",105,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 4:00 AM",85,AQI US - Trung bình
"15 Nov, 5:00 AM",100,AQI US - Trung bình
"15 Nov, 6:00 AM",131,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 7:00 AM",100,AQI US - Trung bình
"15 Nov, 8:00 AM",96,AQI US - Trung bình
"15 Nov, 9:00 AM",88,AQI US - Trung bình
"15 Nov, 10:00 AM",74,AQI US - Trung bình
"15 Nov, 11:00 AM",76,AQI US - Trung bình
"15 Nov, 12:00 PM",57,AQI US - Trung bình
"15 Nov, 1:00 PM",29,AQI US - Tốt
"15 Nov, 2:00 PM",29,AQI US - Tốt
"15 Nov, 3:00 PM",29,AQI US - Tốt
"15 Nov, 4:00 PM",45,AQI US - Tốt
"15 Nov, 5:00 PM",57,AQI US - Trung bình
"15 Nov, 6:00 PM",67,AQI US - Trung bình
"15 Nov, 7:00 PM",59,AQI US - Trung bình
"15 Nov, 8:00 PM",53,AQI US - Trung bình
"15 Nov, 9:00 PM",59,AQI US - Trung bình
"15 Nov, 10:00 PM",76,AQI US - Trung bình
"15 Nov, 11:00 PM",55,AQI US - Trung bình
"16 Nov, 12:00 AM",59,AQI US - Trung bình
"16 Nov, 1:00 AM",69,AQI US - Trung bình
"16 Nov, 2:00 AM",86,AQI US - Trung bình
"16 Nov, 3:00 AM",108,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"16 Nov, 4:00 AM",106,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"16 Nov, 5:00 AM",113,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"16 Nov, 6:00 AM",105,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"16 Nov, 7:00 AM",105,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"16 Nov, 8:00 AM",97,AQI US - Trung bình
"16 Nov, 9:00 AM",83,AQI US - Trung bình
"16 Nov, 10:00 AM",82,AQI US - Trung bình
"16 Nov, 11:00 AM",63,AQI US - Trung bình
"16 Nov, 12:00 PM",57,AQI US - Trung bình
"16 Nov, 1:00 PM",45,AQI US - Tốt
"16 Nov, 2:00 PM",41,AQI US - Tốt
"16 Nov, 3:00 PM",29,AQI US - Tốt
"16 Nov, 4:00 PM",33,AQI US - Tốt
"16 Nov, 5:00 PM",25,AQI US - Tốt
"16 Nov, 6:00 PM",41,AQI US - Tốt
