timestamp,value,rating
"Sun, 17 October",14.6,PM2.5 µg/m³ - Tốt
"Mon, 18 October",10,PM2.5 µg/m³ - Tốt
"Tue, 19 October",13.3,PM2.5 µg/m³ - Tốt
"Wed, 20 October",35.4,PM2.5 µg/m³ - Tốt
"Thu, 21 October",22.1,PM2.5 µg/m³ - Tốt
"Fri, 22 October",22.9,PM2.5 µg/m³ - Tốt
"Sat, 23 October",27.4,PM2.5 µg/m³ - Tốt
"Sun, 24 October",19.7,PM2.5 µg/m³ - Tốt
"Mon, 25 October",18,PM2.5 µg/m³ - Tốt
"Tue, 26 October",22.5,PM2.5 µg/m³ - Tốt
"Wed, 27 October",18.7,PM2.5 µg/m³ - Tốt
"Thu, 28 October",14.9,PM2.5 µg/m³ - Tốt
"Fri, 29 October",24.7,PM2.5 µg/m³ - Tốt
"Sat, 30 October",22.9,PM2.5 µg/m³ - Tốt
"Sun, 31 October",22.6,PM2.5 µg/m³ - Tốt
"Mon, 01 November",26.6,PM2.5 µg/m³ - Tốt
"Tue, 02 November",31.1,PM2.5 µg/m³ - Tốt
"Wed, 03 November",21.2,PM2.5 µg/m³ - Tốt
"Thu, 04 November",14.7,PM2.5 µg/m³ - Tốt
"Fri, 05 November",32.1,PM2.5 µg/m³ - Tốt
"Sat, 06 November",20,PM2.5 µg/m³ - Tốt
"Sun, 07 November",20.6,PM2.5 µg/m³ - Tốt
"Mon, 08 November",14.3,PM2.5 µg/m³ - Tốt
"Tue, 09 November",34.3,PM2.5 µg/m³ - Tốt
"Wed, 10 November",15.5,PM2.5 µg/m³ - Tốt
"Thu, 11 November",22.1,PM2.5 µg/m³ - Tốt
"Fri, 12 November",14.5,PM2.5 µg/m³ - Tốt
"Sat, 13 November",21.4,PM2.5 µg/m³ - Tốt
"Sun, 14 November",27.9,PM2.5 µg/m³ - Tốt
"Mon, 15 November",22,PM2.5 µg/m³ - Tốt
"Tue, 16 November",19.4,PM2.5 µg/m³ - Tốt
"Wed, 17 November",41.1,PM2.5 µg/m³ - Tốt
"Thu, 18 November",37.3,PM2.5 µg/m³ - Tốt
"Fri, 19 November",27,PM2.5 µg/m³ - Tốt
"Sat, 20 November",42.2,PM2.5 µg/m³ - Tốt
"Sun, 21 November",30.7,PM2.5 µg/m³ - Tốt
"Mon, 22 November",14.7,PM2.5 µg/m³ - Tốt
