timestamp,value,rating
"14 Nov, 7:00 PM",8,PM2.5 µg/m³ - Tốt
"14 Nov, 8:00 PM",12.9,PM2.5 µg/m³ - Tốt
"14 Nov, 9:00 PM",23.8,PM2.5 µg/m³ - Tốt
"14 Nov, 10:00 PM",31.6,PM2.5 µg/m³ - Tốt
"14 Nov, 11:00 PM",38.3,PM2.5 µg/m³ - Tốt
"15 Nov, 12:00 AM",39.2,PM2.5 µg/m³ - Tốt
"15 Nov, 1:00 AM",37.3,PM2.5 µg/m³ - Tốt
"15 Nov, 2:00 AM",41.1,PM2.5 µg/m³ - Tốt
"15 Nov, 3:00 AM",37.2,PM2.5 µg/m³ - Tốt
"15 Nov, 4:00 AM",28.6,PM2.5 µg/m³ - Tốt
"15 Nov, 5:00 AM",35.3,PM2.5 µg/m³ - Tốt
"15 Nov, 6:00 AM",47.7,PM2.5 µg/m³ - Tốt
"15 Nov, 7:00 AM",35.3,PM2.5 µg/m³ - Tốt
"15 Nov, 8:00 AM",33.5,PM2.5 µg/m³ - Tốt
"15 Nov, 9:00 AM",29.8,PM2.5 µg/m³ - Tốt
"15 Nov, 10:00 AM",22.9,PM2.5 µg/m³ - Tốt
"15 Nov, 11:00 AM",23.9,PM2.5 µg/m³ - Tốt
"15 Nov, 12:00 PM",15,PM2.5 µg/m³ - Tốt
"15 Nov, 1:00 PM",7,PM2.5 µg/m³ - Tốt
"15 Nov, 2:00 PM",7,PM2.5 µg/m³ - Tốt
"15 Nov, 3:00 PM",7,PM2.5 µg/m³ - Tốt
"15 Nov, 4:00 PM",11,PM2.5 µg/m³ - Tốt
"15 Nov, 5:00 PM",15,PM2.5 µg/m³ - Tốt
"15 Nov, 6:00 PM",19.9,PM2.5 µg/m³ - Tốt
"15 Nov, 7:00 PM",15.9,PM2.5 µg/m³ - Tốt
"15 Nov, 8:00 PM",13,PM2.5 µg/m³ - Tốt
"15 Nov, 9:00 PM",15.9,PM2.5 µg/m³ - Tốt
"15 Nov, 10:00 PM",23.8,PM2.5 µg/m³ - Tốt
"15 Nov, 11:00 PM",13.9,PM2.5 µg/m³ - Tốt
"16 Nov, 12:00 AM",15.9,PM2.5 µg/m³ - Tốt
"16 Nov, 1:00 AM",20.8,PM2.5 µg/m³ - Tốt
"16 Nov, 2:00 AM",28.7,PM2.5 µg/m³ - Tốt
"16 Nov, 3:00 AM",38.4,PM2.5 µg/m³ - Tốt
"16 Nov, 4:00 AM",37.4,PM2.5 µg/m³ - Tốt
"16 Nov, 5:00 AM",40.2,PM2.5 µg/m³ - Tốt
"16 Nov, 6:00 AM",37.3,PM2.5 µg/m³ - Tốt
"16 Nov, 7:00 AM",37.3,PM2.5 µg/m³ - Tốt
"16 Nov, 8:00 AM",34.3,PM2.5 µg/m³ - Tốt
"16 Nov, 9:00 AM",27.6,PM2.5 µg/m³ - Tốt
"16 Nov, 10:00 AM",26.7,PM2.5 µg/m³ - Tốt
"16 Nov, 11:00 AM",17.9,PM2.5 µg/m³ - Tốt
"16 Nov, 12:00 PM",14.9,PM2.5 µg/m³ - Tốt
"16 Nov, 1:00 PM",11,PM2.5 µg/m³ - Tốt
"16 Nov, 2:00 PM",10,PM2.5 µg/m³ - Tốt
"16 Nov, 3:00 PM",7,PM2.5 µg/m³ - Tốt
"16 Nov, 4:00 PM",8,PM2.5 µg/m³ - Tốt
"16 Nov, 5:00 PM",6,PM2.5 µg/m³ - Tốt
"16 Nov, 6:00 PM",10,PM2.5 µg/m³ - Tốt
