timestamp,value,rating
"Thu, 21 October",86,AQI US - Trung bình
"Mon, 25 October",67,AQI US - Trung bình
"Tue, 26 October",91,AQI US - Trung bình
"Wed, 27 October",80,AQI US - Trung bình
"Thu, 28 October",58,AQI US - Trung bình
"Fri, 29 October",83,AQI US - Trung bình
"Sat, 30 October",86,AQI US - Trung bình
"Sun, 31 October",85,AQI US - Trung bình
"Mon, 01 November",100,AQI US - Trung bình
"Tue, 02 November",96,AQI US - Trung bình
"Wed, 03 November",75,AQI US - Trung bình
"Thu, 04 November",63,AQI US - Trung bình
"Fri, 05 November",96,AQI US - Trung bình
"Sat, 06 November",68,AQI US - Trung bình
"Sun, 07 November",79,AQI US - Trung bình
"Mon, 08 November",59,AQI US - Trung bình
"Tue, 09 November",118,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Wed, 10 November",63,AQI US - Trung bình
"Thu, 11 November",79,AQI US - Trung bình
"Fri, 12 November",63,AQI US - Trung bình
"Sat, 13 November",78,AQI US - Trung bình
"Sun, 14 November",116,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Mon, 15 November",84,AQI US - Trung bình
"Tue, 16 November",76,AQI US - Trung bình
"Wed, 17 November",140,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Thu, 18 November",135,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Fri, 19 November",94,AQI US - Trung bình
"Sat, 20 November",153,AQI US - Không lành mạnh
"Sun, 21 November",107,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Mon, 22 November",86,AQI US - Trung bình
"Tue, 23 November",116,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Wed, 24 November",99,AQI US - Trung bình
"Thu, 25 November",75,AQI US - Trung bình
"Fri, 26 November",87,AQI US - Trung bình
