timestamp,value,rating
"14 Nov, 7:00 PM",53,AQI US - Trung bình
"14 Nov, 8:00 PM",63,AQI US - Trung bình
"14 Nov, 9:00 PM",118,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"14 Nov, 10:00 PM",125,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"14 Nov, 11:00 PM",151,AQI US - Không lành mạnh
"15 Nov, 12:00 AM",139,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 1:00 AM",153,AQI US - Không lành mạnh
"15 Nov, 2:00 AM",146,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 3:00 AM",152,AQI US - Không lành mạnh
"15 Nov, 4:00 AM",108,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 5:00 AM",137,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 6:00 AM",158,AQI US - Không lành mạnh
"15 Nov, 7:00 AM",154,AQI US - Không lành mạnh
"15 Nov, 8:00 AM",137,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 9:00 AM",130,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 10:00 AM",80,AQI US - Trung bình
"15 Nov, 11:00 AM",80,AQI US - Trung bình
"15 Nov, 12:00 PM",69,AQI US - Trung bình
"15 Nov, 1:00 PM",37,AQI US - Tốt
"15 Nov, 2:00 PM",33,AQI US - Tốt
"15 Nov, 3:00 PM",25,AQI US - Tốt
"15 Nov, 4:00 PM",37,AQI US - Tốt
"15 Nov, 5:00 PM",57,AQI US - Trung bình
"15 Nov, 6:00 PM",61,AQI US - Trung bình
"15 Nov, 7:00 PM",67,AQI US - Trung bình
"15 Nov, 8:00 PM",57,AQI US - Trung bình
"15 Nov, 9:00 PM",67,AQI US - Trung bình
"15 Nov, 10:00 PM",76,AQI US - Trung bình
"15 Nov, 11:00 PM",74,AQI US - Trung bình
"16 Nov, 12:00 AM",82,AQI US - Trung bình
"16 Nov, 1:00 AM",88,AQI US - Trung bình
"16 Nov, 2:00 AM",121,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"16 Nov, 3:00 AM",113,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"16 Nov, 4:00 AM",111,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"16 Nov, 5:00 AM",130,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"16 Nov, 6:00 AM",130,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"16 Nov, 7:00 AM",132,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"16 Nov, 8:00 AM",123,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"16 Nov, 9:00 AM",113,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"16 Nov, 10:00 AM",88,AQI US - Trung bình
"16 Nov, 11:00 AM",67,AQI US - Trung bình
"16 Nov, 12:00 PM",57,AQI US - Trung bình
"16 Nov, 1:00 PM",37,AQI US - Tốt
"16 Nov, 2:00 PM",45,AQI US - Tốt
"16 Nov, 3:00 PM",33,AQI US - Tốt
"16 Nov, 4:00 PM",37,AQI US - Tốt
"16 Nov, 5:00 PM",21,AQI US - Tốt
"16 Nov, 6:00 PM",37,AQI US - Tốt
