timestamp,value,rating
"Tue, 26 October",1,AQI US - Tốt
"Wed, 27 October",1,AQI US - Tốt
"Fri, 29 October",1,AQI US - Tốt
"Sat, 30 October",1,AQI US - Tốt
"Sun, 31 October",4,AQI US - Tốt
"Mon, 01 November",3,AQI US - Tốt
"Tue, 02 November",2,AQI US - Tốt
"Wed, 03 November",1,AQI US - Tốt
"Thu, 04 November",2,AQI US - Tốt
"Fri, 05 November",1,AQI US - Tốt
"Sat, 06 November",1,AQI US - Tốt
"Sun, 07 November",2,AQI US - Tốt
"Mon, 08 November",1,AQI US - Tốt
"Tue, 09 November",2,AQI US - Tốt
"Wed, 10 November",1,AQI US - Tốt
"Thu, 11 November",1,AQI US - Tốt
"Fri, 12 November",1,AQI US - Tốt
"Sat, 13 November",1,AQI US - Tốt
"Sun, 14 November",1,AQI US - Tốt
"Mon, 15 November",1,AQI US - Tốt
"Tue, 16 November",2,AQI US - Tốt
"Wed, 17 November",2,AQI US - Tốt
"Thu, 18 November",3,AQI US - Tốt
"Fri, 19 November",2,AQI US - Tốt
"Sat, 20 November",2,AQI US - Tốt
"Sun, 21 November",2,AQI US - Tốt
"Mon, 22 November",1,AQI US - Tốt
"Tue, 23 November",2,AQI US - Tốt
"Wed, 24 November",2,AQI US - Tốt
"Thu, 25 November",2,AQI US - Tốt
"Fri, 26 November",1,AQI US - Tốt
"Sat, 27 November",2,AQI US - Tốt
