timestamp,value,rating
"24 Nov, 4:00 AM",4,AQI US - Tốt
"24 Nov, 5:00 AM",4,AQI US - Tốt
"24 Nov, 6:00 AM",8,AQI US - Tốt
"24 Nov, 7:00 AM",4,AQI US - Tốt
"24 Nov, 8:00 AM",4,AQI US - Tốt
"24 Nov, 9:00 AM",4,AQI US - Tốt
"24 Nov, 12:00 PM",4,AQI US - Tốt
"24 Nov, 10:00 PM",4,AQI US - Tốt
"24 Nov, 11:00 PM",4,AQI US - Tốt
"25 Nov, 1:00 AM",4,AQI US - Tốt
"25 Nov, 2:00 AM",8,AQI US - Tốt
"25 Nov, 3:00 AM",4,AQI US - Tốt
"25 Nov, 4:00 AM",4,AQI US - Tốt
"25 Nov, 7:00 AM",4,AQI US - Tốt
"25 Nov, 11:00 AM",8,AQI US - Tốt
"25 Nov, 5:00 PM",4,AQI US - Tốt
"25 Nov, 8:00 PM",4,AQI US - Tốt
"25 Nov, 9:00 PM",4,AQI US - Tốt
"25 Nov, 11:00 PM",4,AQI US - Tốt
"26 Nov, 2:00 AM",12,AQI US - Tốt
