timestamp,value,rating
"Fri, 29 October",0.3,PM2.5 µg/m³ - Tốt
"Sun, 31 October",1,PM2.5 µg/m³ - Tốt
"Mon, 01 November",0.7,PM2.5 µg/m³ - Tốt
"Tue, 02 November",0.5,PM2.5 µg/m³ - Tốt
"Wed, 03 November",0.3,PM2.5 µg/m³ - Tốt
"Thu, 04 November",0.4,PM2.5 µg/m³ - Tốt
"Fri, 05 November",0.3,PM2.5 µg/m³ - Tốt
"Sat, 06 November",0.3,PM2.5 µg/m³ - Tốt
"Sun, 07 November",0.4,PM2.5 µg/m³ - Tốt
"Tue, 09 November",0.5,PM2.5 µg/m³ - Tốt
"Wed, 10 November",0.3,PM2.5 µg/m³ - Tốt
"Fri, 12 November",0.3,PM2.5 µg/m³ - Tốt
"Sun, 14 November",0.3,PM2.5 µg/m³ - Tốt
"Tue, 16 November",0.5,PM2.5 µg/m³ - Tốt
"Wed, 17 November",0.6,PM2.5 µg/m³ - Tốt
"Thu, 18 November",0.8,PM2.5 µg/m³ - Tốt
"Fri, 19 November",0.4,PM2.5 µg/m³ - Tốt
"Sat, 20 November",0.5,PM2.5 µg/m³ - Tốt
"Sun, 21 November",0.4,PM2.5 µg/m³ - Tốt
"Mon, 22 November",0.3,PM2.5 µg/m³ - Tốt
"Tue, 23 November",0.4,PM2.5 µg/m³ - Tốt
"Wed, 24 November",0.5,PM2.5 µg/m³ - Tốt
"Thu, 25 November",0.4,PM2.5 µg/m³ - Tốt
"Fri, 26 November",0.3,PM2.5 µg/m³ - Tốt
"Sat, 27 November",0.4,PM2.5 µg/m³ - Tốt
,,
