timestamp,value,rating
"24 Nov, 4:00 AM",1,PM2.5 µg/m³ - Tốt
"24 Nov, 5:00 AM",1,PM2.5 µg/m³ - Tốt
"24 Nov, 6:00 AM",2,PM2.5 µg/m³ - Tốt
"24 Nov, 7:00 AM",1,PM2.5 µg/m³ - Tốt
"24 Nov, 8:00 AM",1,PM2.5 µg/m³ - Tốt
"24 Nov, 9:00 AM",1,PM2.5 µg/m³ - Tốt
"24 Nov, 12:00 PM",1,PM2.5 µg/m³ - Tốt
"24 Nov, 10:00 PM",1,PM2.5 µg/m³ - Tốt
"24 Nov, 11:00 PM",1,PM2.5 µg/m³ - Tốt
"25 Nov, 1:00 AM",1,PM2.5 µg/m³ - Tốt
"25 Nov, 2:00 AM",2,PM2.5 µg/m³ - Tốt
"25 Nov, 3:00 AM",1,PM2.5 µg/m³ - Tốt
"25 Nov, 4:00 AM",1,PM2.5 µg/m³ - Tốt
"25 Nov, 7:00 AM",1,PM2.5 µg/m³ - Tốt
"25 Nov, 11:00 AM",2,PM2.5 µg/m³ - Tốt
"25 Nov, 5:00 PM",1,PM2.5 µg/m³ - Tốt
"25 Nov, 8:00 PM",1,PM2.5 µg/m³ - Tốt
"25 Nov, 9:00 PM",1,PM2.5 µg/m³ - Tốt
"25 Nov, 11:00 PM",1,PM2.5 µg/m³ - Tốt
"26 Nov, 2:00 AM",3,PM2.5 µg/m³ - Tốt
"26 Nov, 5:00 PM",1,PM2.5 µg/m³ - Tốt
"26 Nov, 7:00 PM",1,PM2.5 µg/m³ - Tốt
"26 Nov, 8:00 PM",2,PM2.5 µg/m³ - Tốt
"26 Nov, 9:00 PM",1,PM2.5 µg/m³ - Tốt
