timestamp,value,rating
"23 Nov, 2:00 PM",63,AQI US - Trung bình
"23 Nov, 3:00 PM",82,AQI US - Trung bình
"23 Nov, 4:00 PM",57,AQI US - Trung bình
"23 Nov, 5:00 PM",57,AQI US - Trung bình
"23 Nov, 6:00 PM",69,AQI US - Trung bình
"23 Nov, 7:00 PM",73,AQI US - Trung bình
"23 Nov, 8:00 PM",77,AQI US - Trung bình
"23 Nov, 9:00 PM",77,AQI US - Trung bình
"23 Nov, 10:00 PM",75,AQI US - Trung bình
"23 Nov, 11:00 PM",82,AQI US - Trung bình
"24 Nov, 12:00 AM",85,AQI US - Trung bình
"24 Nov, 1:00 AM",103,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"24 Nov, 2:00 AM",115,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"24 Nov, 3:00 AM",93,AQI US - Trung bình
"24 Nov, 4:00 AM",89,AQI US - Trung bình
"24 Nov, 5:00 AM",108,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"24 Nov, 6:00 AM",84,AQI US - Trung bình
"24 Nov, 7:00 AM",71,AQI US - Trung bình
"24 Nov, 8:00 AM",67,AQI US - Trung bình
"24 Nov, 9:00 AM",65,AQI US - Trung bình
"24 Nov, 10:00 AM",67,AQI US - Trung bình
"24 Nov, 11:00 AM",61,AQI US - Trung bình
"24 Nov, 12:00 PM",50,AQI US - Tốt
"24 Nov, 1:00 PM",55,AQI US - Trung bình
"24 Nov, 2:00 PM",55,AQI US - Trung bình
"24 Nov, 3:00 PM",37,AQI US - Tốt
"24 Nov, 4:00 PM",55,AQI US - Trung bình
"24 Nov, 5:00 PM",55,AQI US - Trung bình
"24 Nov, 6:00 PM",53,AQI US - Trung bình
"24 Nov, 7:00 PM",55,AQI US - Trung bình
"24 Nov, 8:00 PM",67,AQI US - Trung bình
"24 Nov, 9:00 PM",73,AQI US - Trung bình
