timestamp,value,rating
"23 Nov, 2:00 PM",18,PM2.5 µg/m³ - Tốt
"23 Nov, 3:00 PM",27,PM2.5 µg/m³ - Tốt
"23 Nov, 4:00 PM",14.9,PM2.5 µg/m³ - Tốt
"23 Nov, 5:00 PM",14.9,PM2.5 µg/m³ - Tốt
"23 Nov, 6:00 PM",20.9,PM2.5 µg/m³ - Tốt
"23 Nov, 7:00 PM",22.8,PM2.5 µg/m³ - Tốt
"23 Nov, 8:00 PM",24.7,PM2.5 µg/m³ - Tốt
"23 Nov, 9:00 PM",24.7,PM2.5 µg/m³ - Tốt
"23 Nov, 10:00 PM",23.7,PM2.5 µg/m³ - Tốt
"23 Nov, 11:00 PM",26.7,PM2.5 µg/m³ - Tốt
"24 Nov, 12:00 AM",28.6,PM2.5 µg/m³ - Tốt
"24 Nov, 1:00 AM",36.3,PM2.5 µg/m³ - Tốt
"24 Nov, 2:00 AM",41.1,PM2.5 µg/m³ - Tốt
"24 Nov, 3:00 AM",32.4,PM2.5 µg/m³ - Tốt
"24 Nov, 4:00 AM",30.4,PM2.5 µg/m³ - Tốt
"24 Nov, 5:00 AM",38.3,PM2.5 µg/m³ - Tốt
"24 Nov, 6:00 AM",27.7,PM2.5 µg/m³ - Tốt
"24 Nov, 7:00 AM",21.8,PM2.5 µg/m³ - Tốt
"24 Nov, 8:00 AM",19.9,PM2.5 µg/m³ - Tốt
"24 Nov, 9:00 AM",18.9,PM2.5 µg/m³ - Tốt
"24 Nov, 10:00 AM",19.9,PM2.5 µg/m³ - Tốt
"24 Nov, 11:00 AM",17,PM2.5 µg/m³ - Tốt
"24 Nov, 12:00 PM",12,PM2.5 µg/m³ - Tốt
"24 Nov, 1:00 PM",14,PM2.5 µg/m³ - Tốt
"24 Nov, 2:00 PM",14,PM2.5 µg/m³ - Tốt
"24 Nov, 3:00 PM",9,PM2.5 µg/m³ - Tốt
"24 Nov, 4:00 PM",14,PM2.5 µg/m³ - Tốt
"24 Nov, 5:00 PM",14,PM2.5 µg/m³ - Tốt
"24 Nov, 6:00 PM",13,PM2.5 µg/m³ - Tốt
"24 Nov, 7:00 PM",14,PM2.5 µg/m³ - Tốt
"24 Nov, 8:00 PM",19.9,PM2.5 µg/m³ - Tốt
"24 Nov, 9:00 PM",22.8,PM2.5 µg/m³ - Tốt
"24 Nov, 10:00 PM",27.7,PM2.5 µg/m³ - Tốt
"24 Nov, 11:00 PM",35.5,PM2.5 µg/m³ - Tốt
"25 Nov, 12:00 AM",35.5,PM2.5 µg/m³ - Tốt
"25 Nov, 1:00 AM",33.6,PM2.5 µg/m³ - Tốt
"25 Nov, 2:00 AM",28.7,PM2.5 µg/m³ - Tốt
"25 Nov, 3:00 AM",21.8,PM2.5 µg/m³ - Tốt
"25 Nov, 4:00 AM",17.9,PM2.5 µg/m³ - Tốt
"25 Nov, 5:00 AM",12,PM2.5 µg/m³ - Tốt
"25 Nov, 6:00 AM",11,PM2.5 µg/m³ - Tốt
"25 Nov, 7:00 AM",12,PM2.5 µg/m³ - Tốt
"25 Nov, 8:00 AM",14,PM2.5 µg/m³ - Tốt
"25 Nov, 9:00 AM",20.9,PM2.5 µg/m³ - Tốt
"25 Nov, 10:00 AM",24.9,PM2.5 µg/m³ - Tốt
"25 Nov, 11:00 AM",23.9,PM2.5 µg/m³ - Tốt
"25 Nov, 12:00 PM",15,PM2.5 µg/m³ - Tốt
"25 Nov, 1:00 PM",12,PM2.5 µg/m³ - Tốt
"25 Nov, 2:00 PM",8,PM2.5 µg/m³ - Tốt
"25 Nov, 3:00 PM",9,PM2.5 µg/m³ - Tốt
"25 Nov, 4:00 PM",14,PM2.5 µg/m³ - Tốt
"25 Nov, 5:00 PM",17.9,PM2.5 µg/m³ - Tốt
"25 Nov, 6:00 PM",23.9,PM2.5 µg/m³ - Tốt
"25 Nov, 7:00 PM",18.9,PM2.5 µg/m³ - Tốt
"25 Nov, 8:00 PM",21.9,PM2.5 µg/m³ - Tốt
"25 Nov, 9:00 PM",10,PM2.5 µg/m³ - Tốt
"25 Nov, 10:00 PM",14,PM2.5 µg/m³ - Tốt
"25 Nov, 11:00 PM",20.9,PM2.5 µg/m³ - Tốt
"26 Nov, 12:00 AM",19.9,PM2.5 µg/m³ - Tốt
"26 Nov, 1:00 AM",10,PM2.5 µg/m³ - Tốt
"26 Nov, 2:00 AM",9,PM2.5 µg/m³ - Tốt
"26 Nov, 3:00 AM",9,PM2.5 µg/m³ - Tốt
"26 Nov, 4:00 AM",11,PM2.5 µg/m³ - Tốt
"26 Nov, 5:00 AM",12,PM2.5 µg/m³ - Tốt
"26 Nov, 6:00 AM",16.9,PM2.5 µg/m³ - Tốt
"26 Nov, 7:00 AM",15.9,PM2.5 µg/m³ - Tốt
"26 Nov, 8:00 AM",13,PM2.5 µg/m³ - Tốt
"26 Nov, 9:00 AM",11,PM2.5 µg/m³ - Tốt
"26 Nov, 10:00 AM",12,PM2.5 µg/m³ - Tốt
"26 Nov, 11:00 AM",12,PM2.5 µg/m³ - Tốt
"26 Nov, 12:00 PM",12,PM2.5 µg/m³ - Tốt
"26 Nov, 1:00 PM",10,PM2.5 µg/m³ - Tốt
"26 Nov, 2:00 PM",8,PM2.5 µg/m³ - Tốt
"26 Nov, 3:00 PM",10,PM2.5 µg/m³ - Tốt
"26 Nov, 4:00 PM",11,PM2.5 µg/m³ - Tốt
"26 Nov, 5:00 PM",15,PM2.5 µg/m³ - Tốt
"26 Nov, 6:00 PM",15,PM2.5 µg/m³ - Tốt
"26 Nov, 7:00 PM",17.9,PM2.5 µg/m³ - Tốt
"26 Nov, 8:00 PM",13,PM2.5 µg/m³ - Tốt
"26 Nov, 9:00 PM",7,PM2.5 µg/m³ - Tốt
