timestamp,value,rating
"14 Nov, 7:00 PM",55,AQI US - Trung bình
"14 Nov, 8:00 PM",59,AQI US - Trung bình
"14 Nov, 9:00 PM",92,AQI US - Trung bình
"14 Nov, 10:00 PM",108,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"14 Nov, 11:00 PM",115,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 12:00 AM",115,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 1:00 AM",152,AQI US - Không lành mạnh
"15 Nov, 2:00 AM",96,AQI US - Trung bình
"15 Nov, 3:00 AM",120,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 4:00 AM",80,AQI US - Trung bình
"15 Nov, 5:00 AM",82,AQI US - Trung bình
"15 Nov, 6:00 AM",136,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 7:00 AM",158,AQI US - Không lành mạnh
"15 Nov, 8:00 AM",153,AQI US - Không lành mạnh
"15 Nov, 9:00 AM",148,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 10:00 AM",67,AQI US - Trung bình
"15 Nov, 11:00 AM",63,AQI US - Trung bình
"15 Nov, 12:00 PM",63,AQI US - Trung bình
"15 Nov, 1:00 PM",45,AQI US - Tốt
"15 Nov, 2:00 PM",37,AQI US - Tốt
"15 Nov, 3:00 PM",33,AQI US - Tốt
"15 Nov, 4:00 PM",41,AQI US - Tốt
"15 Nov, 5:00 PM",55,AQI US - Trung bình
"15 Nov, 6:00 PM",55,AQI US - Trung bình
"15 Nov, 7:00 PM",63,AQI US - Trung bình
"15 Nov, 8:00 PM",63,AQI US - Trung bình
"15 Nov, 9:00 PM",67,AQI US - Trung bình
"15 Nov, 10:00 PM",71,AQI US - Trung bình
"15 Nov, 11:00 PM",73,AQI US - Trung bình
"16 Nov, 12:00 AM",73,AQI US - Trung bình
"16 Nov, 1:00 AM",82,AQI US - Trung bình
"16 Nov, 2:00 AM",84,AQI US - Trung bình
