timestamp,value,rating
"Sun, 17 October",68,AQI US - Trung bình
"Mon, 18 October",24,AQI US - Tốt
"Tue, 19 October",57,AQI US - Trung bình
"Wed, 20 October",109,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Thu, 21 October",79,AQI US - Trung bình
"Fri, 22 October",80,AQI US - Trung bình
"Sat, 23 October",94,AQI US - Trung bình
"Sun, 24 October",87,AQI US - Trung bình
"Mon, 25 October",70,AQI US - Trung bình
"Tue, 26 October",94,AQI US - Trung bình
"Wed, 27 October",77,AQI US - Trung bình
"Thu, 28 October",55,AQI US - Trung bình
"Fri, 29 October",72,AQI US - Trung bình
"Sat, 30 October",83,AQI US - Trung bình
"Sat, 13 November",60,AQI US - Trung bình
"Sun, 14 November",89,AQI US - Trung bình
"Mon, 15 November",74,AQI US - Trung bình
"Tue, 16 November",71,AQI US - Trung bình
"Wed, 17 November",105,AQI US - Không lành mạnh cho các nhóm nhạy cảm
