timestamp,value,rating
"14 Nov, 7:00 PM",55,AQI US - Trung bình
"14 Nov, 8:00 PM",55,AQI US - Trung bình
"14 Nov, 9:00 PM",59,AQI US - Trung bình
"14 Nov, 10:00 PM",84,AQI US - Trung bình
"14 Nov, 11:00 PM",90,AQI US - Trung bình
"15 Nov, 12:00 AM",98,AQI US - Trung bình
"15 Nov, 1:00 AM",155,AQI US - Không lành mạnh
"15 Nov, 2:00 AM",151,AQI US - Không lành mạnh
"15 Nov, 3:00 AM",120,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 4:00 AM",101,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 5:00 AM",65,AQI US - Trung bình
"15 Nov, 6:00 AM",101,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 7:00 AM",142,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 8:00 AM",128,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 9:00 AM",116,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"15 Nov, 10:00 AM",80,AQI US - Trung bình
"15 Nov, 11:00 AM",80,AQI US - Trung bình
"15 Nov, 12:00 PM",63,AQI US - Trung bình
"15 Nov, 1:00 PM",41,AQI US - Tốt
"15 Nov, 2:00 PM",41,AQI US - Tốt
"15 Nov, 3:00 PM",53,AQI US - Trung bình
"15 Nov, 4:00 PM",45,AQI US - Tốt
"15 Nov, 5:00 PM",55,AQI US - Trung bình
"15 Nov, 6:00 PM",59,AQI US - Trung bình
"15 Nov, 7:00 PM",63,AQI US - Trung bình
"15 Nov, 8:00 PM",63,AQI US - Trung bình
"15 Nov, 9:00 PM",63,AQI US - Trung bình
"15 Nov, 10:00 PM",49,AQI US - Tốt
"15 Nov, 11:00 PM",63,AQI US - Trung bình
"16 Nov, 12:00 AM",65,AQI US - Trung bình
"16 Nov, 1:00 AM",69,AQI US - Trung bình
"16 Nov, 2:00 AM",80,AQI US - Trung bình
"16 Nov, 3:00 AM",80,AQI US - Trung bình
"16 Nov, 4:00 AM",74,AQI US - Trung bình
"16 Nov, 5:00 AM",94,AQI US - Trung bình
"16 Nov, 6:00 AM",111,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"16 Nov, 7:00 AM",106,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"16 Nov, 8:00 AM",101,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"16 Nov, 9:00 AM",96,AQI US - Trung bình
"16 Nov, 10:00 AM",90,AQI US - Trung bình
"16 Nov, 11:00 AM",67,AQI US - Trung bình
"16 Nov, 12:00 PM",74,AQI US - Trung bình
"16 Nov, 1:00 PM",69,AQI US - Trung bình
"16 Nov, 2:00 PM",61,AQI US - Trung bình
"16 Nov, 3:00 PM",33,AQI US - Tốt
"16 Nov, 4:00 PM",37,AQI US - Tốt
"16 Nov, 5:00 PM",29,AQI US - Tốt
"16 Nov, 6:00 PM",33,AQI US - Tốt
