timestamp,value,rating
"14 Nov, 7:00 PM",14,PM2.5 µg/m³ - Tốt
"14 Nov, 8:00 PM",14,PM2.5 µg/m³ - Tốt
"14 Nov, 9:00 PM",15.9,PM2.5 µg/m³ - Tốt
"14 Nov, 10:00 PM",27.8,PM2.5 µg/m³ - Tốt
"14 Nov, 11:00 PM",30.7,PM2.5 µg/m³ - Tốt
"15 Nov, 12:00 AM",34.6,PM2.5 µg/m³ - Tốt
"15 Nov, 1:00 AM",62.8,PM2.5 µg/m³ - Trung bình
"15 Nov, 2:00 AM",56.1,PM2.5 µg/m³ - Trung bình
"15 Nov, 3:00 AM",43.4,PM2.5 µg/m³ - Tốt
"15 Nov, 4:00 AM",35.6,PM2.5 µg/m³ - Tốt
"15 Nov, 5:00 AM",18.9,PM2.5 µg/m³ - Tốt
"15 Nov, 6:00 AM",35.6,PM2.5 µg/m³ - Tốt
"15 Nov, 7:00 AM",52.2,PM2.5 µg/m³ - Trung bình
"15 Nov, 8:00 AM",46.4,PM2.5 µg/m³ - Tốt
"15 Nov, 9:00 AM",41.5,PM2.5 µg/m³ - Tốt
"15 Nov, 10:00 AM",25.8,PM2.5 µg/m³ - Tốt
"15 Nov, 11:00 AM",25.9,PM2.5 µg/m³ - Tốt
"15 Nov, 12:00 PM",17.9,PM2.5 µg/m³ - Tốt
"15 Nov, 1:00 PM",10,PM2.5 µg/m³ - Tốt
"15 Nov, 2:00 PM",10,PM2.5 µg/m³ - Tốt
"15 Nov, 3:00 PM",13,PM2.5 µg/m³ - Tốt
"15 Nov, 4:00 PM",11,PM2.5 µg/m³ - Tốt
"15 Nov, 5:00 PM",14,PM2.5 µg/m³ - Tốt
"15 Nov, 6:00 PM",16,PM2.5 µg/m³ - Tốt
"15 Nov, 7:00 PM",17.9,PM2.5 µg/m³ - Tốt
"15 Nov, 8:00 PM",17.9,PM2.5 µg/m³ - Tốt
"15 Nov, 9:00 PM",17.9,PM2.5 µg/m³ - Tốt
"15 Nov, 10:00 PM",12,PM2.5 µg/m³ - Tốt
"15 Nov, 11:00 PM",17.9,PM2.5 µg/m³ - Tốt
"16 Nov, 12:00 AM",18.9,PM2.5 µg/m³ - Tốt
"16 Nov, 1:00 AM",20.9,PM2.5 µg/m³ - Tốt
"16 Nov, 2:00 AM",25.8,PM2.5 µg/m³ - Tốt
"16 Nov, 3:00 AM",25.8,PM2.5 µg/m³ - Tốt
"16 Nov, 4:00 AM",22.9,PM2.5 µg/m³ - Tốt
"16 Nov, 5:00 AM",32.7,PM2.5 µg/m³ - Tốt
"16 Nov, 6:00 AM",39.5,PM2.5 µg/m³ - Tốt
