timestamp,value,rating
"Sun, 17 October",66,AQI US - Trung bình
"Mon, 18 October",29,AQI US - Tốt
"Tue, 19 October",56,AQI US - Trung bình
"Wed, 20 October",107,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Thu, 21 October",82,AQI US - Trung bình
"Fri, 22 October",78,AQI US - Trung bình
"Sat, 23 October",95,AQI US - Trung bình
"Sun, 24 October",90,AQI US - Trung bình
"Mon, 25 October",66,AQI US - Trung bình
"Tue, 26 October",96,AQI US - Trung bình
"Wed, 27 October",77,AQI US - Trung bình
"Thu, 28 October",54,AQI US - Trung bình
"Fri, 29 October",75,AQI US - Trung bình
"Sat, 30 October",82,AQI US - Trung bình
"Sun, 31 October",73,AQI US - Trung bình
"Mon, 01 November",85,AQI US - Trung bình
"Tue, 02 November",89,AQI US - Trung bình
"Wed, 03 November",76,AQI US - Trung bình
"Thu, 04 November",67,AQI US - Trung bình
"Fri, 05 November",103,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Sat, 06 November",70,AQI US - Trung bình
"Sun, 07 November",78,AQI US - Trung bình
"Mon, 08 November",59,AQI US - Trung bình
"Tue, 09 November",104,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Wed, 10 November",71,AQI US - Trung bình
"Thu, 11 November",81,AQI US - Trung bình
"Fri, 12 November",60,AQI US - Trung bình
"Sat, 13 November",74,AQI US - Trung bình
"Sun, 14 November",87,AQI US - Trung bình
"Mon, 15 November",70,AQI US - Trung bình
"Tue, 16 November",75,AQI US - Trung bình
"Wed, 17 November",143,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Thu, 18 November",67,AQI US - Trung bình
"Fri, 19 November",78,AQI US - Trung bình
"Sun, 21 November",86,AQI US - Trung bình
