timestamp,value,rating
"Sun, 17 October",19.3,PM2.5 µg/m³ - Tốt
"Mon, 18 October",7,PM2.5 µg/m³ - Tốt
"Tue, 19 October",14.5,PM2.5 µg/m³ - Tốt
"Wed, 20 October",37.9,PM2.5 µg/m³ - Tốt
"Thu, 21 October",27,PM2.5 µg/m³ - Tốt
"Fri, 22 October",24.8,PM2.5 µg/m³ - Tốt
"Sat, 23 October",33.3,PM2.5 µg/m³ - Tốt
"Sun, 24 October",30.9,PM2.5 µg/m³ - Tốt
"Mon, 25 October",19.5,PM2.5 µg/m³ - Tốt
"Tue, 26 October",33.6,PM2.5 µg/m³ - Tốt
"Wed, 27 October",24.5,PM2.5 µg/m³ - Tốt
"Thu, 28 October",13.3,PM2.5 µg/m³ - Tốt
"Fri, 29 October",23.5,PM2.5 µg/m³ - Tốt
"Sat, 30 October",26.7,PM2.5 µg/m³ - Tốt
"Sun, 31 October",22.4,PM2.5 µg/m³ - Tốt
"Mon, 01 November",28.3,PM2.5 µg/m³ - Tốt
"Tue, 02 November",30.2,PM2.5 µg/m³ - Tốt
"Wed, 03 November",23.8,PM2.5 µg/m³ - Tốt
"Thu, 04 November",19.7,PM2.5 µg/m³ - Tốt
"Fri, 05 November",36.2,PM2.5 µg/m³ - Tốt
"Sat, 06 November",21.1,PM2.5 µg/m³ - Tốt
"Sun, 07 November",25.2,PM2.5 µg/m³ - Tốt
"Mon, 08 November",15.9,PM2.5 µg/m³ - Tốt
"Tue, 09 November",36.8,PM2.5 µg/m³ - Tốt
"Wed, 10 November",21.6,PM2.5 µg/m³ - Tốt
"Thu, 11 November",26.4,PM2.5 µg/m³ - Tốt
"Fri, 12 November",16.4,PM2.5 µg/m³ - Tốt
"Sat, 13 November",22.9,PM2.5 µg/m³ - Tốt
"Sun, 14 November",29.5,PM2.5 µg/m³ - Tốt
"Mon, 15 November",21.4,PM2.5 µg/m³ - Tốt
"Tue, 16 November",23.4,PM2.5 µg/m³ - Tốt
"Wed, 17 November",52.7,PM2.5 µg/m³ - Trung bình
"Thu, 18 November",19.8,PM2.5 µg/m³ - Tốt
"Fri, 19 November",24.8,PM2.5 µg/m³ - Tốt
"Sun, 21 November",24.3,PM2.5 µg/m³ - Tốt
