timestamp,value,rating
"14 Nov, 5:00 PM",25.8,PM2.5 µg/m³ - Tốt
"14 Nov, 6:00 PM",9,PM2.5 µg/m³ - Tốt
"14 Nov, 7:00 PM",11,PM2.5 µg/m³ - Tốt
"14 Nov, 8:00 PM",19.9,PM2.5 µg/m³ - Tốt
"14 Nov, 9:00 PM",18.9,PM2.5 µg/m³ - Tốt
"14 Nov, 10:00 PM",27.7,PM2.5 µg/m³ - Tốt
"14 Nov, 11:00 PM",27.7,PM2.5 µg/m³ - Tốt
"15 Nov, 12:00 AM",33.5,PM2.5 µg/m³ - Tốt
"15 Nov, 2:00 AM",55.6,PM2.5 µg/m³ - Trung bình
"15 Nov, 3:00 AM",42.2,PM2.5 µg/m³ - Tốt
"15 Nov, 4:00 AM",36.4,PM2.5 µg/m³ - Tốt
"15 Nov, 5:00 AM",19.8,PM2.5 µg/m³ - Tốt
"15 Nov, 6:00 AM",39.4,PM2.5 µg/m³ - Tốt
"15 Nov, 7:00 AM",55.7,PM2.5 µg/m³ - Trung bình
"15 Nov, 8:00 AM",47,PM2.5 µg/m³ - Tốt
"15 Nov, 9:00 AM",38.4,PM2.5 µg/m³ - Tốt
"15 Nov, 10:00 AM",24.8,PM2.5 µg/m³ - Tốt
"15 Nov, 11:00 AM",22.9,PM2.5 µg/m³ - Tốt
"15 Nov, 12:00 PM",15,PM2.5 µg/m³ - Tốt
"15 Nov, 1:00 PM",9,PM2.5 µg/m³ - Tốt
"15 Nov, 2:00 PM",10,PM2.5 µg/m³ - Tốt
"15 Nov, 3:00 PM",10,PM2.5 µg/m³ - Tốt
"15 Nov, 4:00 PM",11,PM2.5 µg/m³ - Tốt
"15 Nov, 5:00 PM",12,PM2.5 µg/m³ - Tốt
"15 Nov, 6:00 PM",13,PM2.5 µg/m³ - Tốt
"15 Nov, 7:00 PM",15,PM2.5 µg/m³ - Tốt
"15 Nov, 8:00 PM",15.9,PM2.5 µg/m³ - Tốt
"15 Nov, 9:00 PM",15.9,PM2.5 µg/m³ - Tốt
"15 Nov, 10:00 PM",11,PM2.5 µg/m³ - Tốt
"15 Nov, 11:00 PM",16.9,PM2.5 µg/m³ - Tốt
"16 Nov, 12:00 AM",16.9,PM2.5 µg/m³ - Tốt
"16 Nov, 1:00 AM",18.9,PM2.5 µg/m³ - Tốt
"16 Nov, 2:00 AM",25.8,PM2.5 µg/m³ - Tốt
"16 Nov, 3:00 AM",22.8,PM2.5 µg/m³ - Tốt
"16 Nov, 4:00 AM",20.9,PM2.5 µg/m³ - Tốt
"16 Nov, 5:00 AM",31.6,PM2.5 µg/m³ - Tốt
"16 Nov, 6:00 AM",34.5,PM2.5 µg/m³ - Tốt
"16 Nov, 7:00 AM",33.5,PM2.5 µg/m³ - Tốt
"16 Nov, 8:00 AM",37.3,PM2.5 µg/m³ - Tốt
"16 Nov, 9:00 AM",32.5,PM2.5 µg/m³ - Tốt
"16 Nov, 2:00 PM",16.9,PM2.5 µg/m³ - Tốt
"16 Nov, 3:00 PM",9,PM2.5 µg/m³ - Tốt
"16 Nov, 4:00 PM",11,PM2.5 µg/m³ - Tốt
"17 Nov, 7:00 AM",44.1,PM2.5 µg/m³ - Tốt
"17 Nov, 8:00 AM",56.5,PM2.5 µg/m³ - Trung bình
"17 Nov, 9:00 AM",57.5,PM2.5 µg/m³ - Trung bình
