timestamp,value,rating
"Sun, 17 October",78,AQI US - Trung bình
"Mon, 18 October",51,AQI US - Trung bình
"Tue, 19 October",63,AQI US - Trung bình
"Wed, 20 October",99,AQI US - Trung bình
"Thu, 21 October",79,AQI US - Trung bình
"Fri, 22 October",90,AQI US - Trung bình
"Sat, 23 October",77,AQI US - Trung bình
"Sun, 24 October",79,AQI US - Trung bình
"Mon, 25 October",64,AQI US - Trung bình
"Tue, 26 October",82,AQI US - Trung bình
"Wed, 27 October",76,AQI US - Trung bình
"Thu, 28 October",57,AQI US - Trung bình
"Fri, 29 October",87,AQI US - Trung bình
"Sat, 30 October",76,AQI US - Trung bình
"Sun, 31 October",96,AQI US - Trung bình
"Mon, 01 November",93,AQI US - Trung bình
"Tue, 02 November",93,AQI US - Trung bình
"Wed, 03 November",69,AQI US - Trung bình
"Thu, 04 November",66,AQI US - Trung bình
"Fri, 05 November",90,AQI US - Trung bình
"Sat, 06 November",88,AQI US - Trung bình
"Sun, 07 November",81,AQI US - Trung bình
"Mon, 08 November",55,AQI US - Trung bình
"Tue, 09 November",82,AQI US - Trung bình
"Wed, 10 November",68,AQI US - Trung bình
"Thu, 11 November",68,AQI US - Trung bình
"Fri, 12 November",66,AQI US - Trung bình
"Sat, 13 November",73,AQI US - Trung bình
"Sun, 14 November",114,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Mon, 15 November",71,AQI US - Trung bình
"Tue, 16 November",85,AQI US - Trung bình
"Wed, 17 November",113,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Thu, 18 November",122,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Fri, 19 November",86,AQI US - Trung bình
"Sat, 20 November",120,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Sun, 21 November",89,AQI US - Trung bình
"Mon, 22 November",83,AQI US - Trung bình
"Tue, 23 November",110,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Wed, 24 November",93,AQI US - Trung bình
"Thu, 25 November",80,AQI US - Trung bình
