timestamp,value,rating
"Sun, 17 October",24.8,PM2.5 µg/m³ - Tốt
"Mon, 18 October",12.3,PM2.5 µg/m³ - Tốt
"Tue, 19 October",18,PM2.5 µg/m³ - Tốt
"Wed, 20 October",35.1,PM2.5 µg/m³ - Tốt
"Thu, 21 October",25.6,PM2.5 µg/m³ - Tốt
"Fri, 22 October",30.9,PM2.5 µg/m³ - Tốt
"Sat, 23 October",24.7,PM2.5 µg/m³ - Tốt
"Sun, 24 October",25.4,PM2.5 µg/m³ - Tốt
"Mon, 25 October",18.5,PM2.5 µg/m³ - Tốt
"Tue, 26 October",27.1,PM2.5 µg/m³ - Tốt
"Wed, 27 October",23.8,PM2.5 µg/m³ - Tốt
"Thu, 28 October",15.1,PM2.5 µg/m³ - Tốt
"Fri, 29 October",29.1,PM2.5 µg/m³ - Tốt
"Sat, 30 October",24.1,PM2.5 µg/m³ - Tốt
"Sun, 31 October",33.6,PM2.5 µg/m³ - Tốt
"Mon, 01 November",32.2,PM2.5 µg/m³ - Tốt
"Tue, 02 November",32.3,PM2.5 µg/m³ - Tốt
"Wed, 03 November",20.7,PM2.5 µg/m³ - Tốt
"Thu, 04 November",19.2,PM2.5 µg/m³ - Tốt
"Fri, 05 November",30.6,PM2.5 µg/m³ - Tốt
"Sat, 06 November",30,PM2.5 µg/m³ - Tốt
"Sun, 07 November",26.4,PM2.5 µg/m³ - Tốt
"Mon, 08 November",13.9,PM2.5 µg/m³ - Tốt
"Tue, 09 November",26.8,PM2.5 µg/m³ - Tốt
"Wed, 10 November",20.3,PM2.5 µg/m³ - Tốt
"Thu, 11 November",20.1,PM2.5 µg/m³ - Tốt
"Fri, 12 November",19.3,PM2.5 µg/m³ - Tốt
"Sat, 13 November",22.5,PM2.5 µg/m³ - Tốt
"Sun, 14 November",40.7,PM2.5 µg/m³ - Tốt
"Mon, 15 November",21.5,PM2.5 µg/m³ - Tốt
"Tue, 16 November",28.2,PM2.5 µg/m³ - Tốt
"Wed, 17 November",40.5,PM2.5 µg/m³ - Tốt
"Thu, 18 November",44.1,PM2.5 µg/m³ - Tốt
"Fri, 19 November",29,PM2.5 µg/m³ - Tốt
"Sat, 20 November",43.2,PM2.5 µg/m³ - Tốt
"Sun, 21 November",33.5,PM2.5 µg/m³ - Tốt
