timestamp,value,rating
"14 Nov, 7:00 PM",17,AQI US - Tốt
"14 Nov, 8:00 PM",16,AQI US - Tốt
"14 Nov, 9:00 PM",57,AQI US - Trung bình
"14 Nov, 10:00 PM",76,AQI US - Trung bình
"14 Nov, 11:00 PM",69,AQI US - Trung bình
"15 Nov, 12:00 AM",71,AQI US - Trung bình
"15 Nov, 1:00 AM",69,AQI US - Trung bình
"15 Nov, 2:00 AM",71,AQI US - Trung bình
"15 Nov, 3:00 AM",67,AQI US - Trung bình
"15 Nov, 4:00 AM",63,AQI US - Trung bình
"15 Nov, 5:00 AM",69,AQI US - Trung bình
"15 Nov, 6:00 AM",63,AQI US - Trung bình
"15 Nov, 7:00 AM",57,AQI US - Trung bình
"15 Nov, 8:00 AM",57,AQI US - Trung bình
"15 Nov, 9:00 AM",53,AQI US - Trung bình
"15 Nov, 10:00 AM",41,AQI US - Tốt
"15 Nov, 11:00 AM",45,AQI US - Tốt
"15 Nov, 12:00 PM",37,AQI US - Tốt
"15 Nov, 1:00 PM",21,AQI US - Tốt
"15 Nov, 2:00 PM",12,AQI US - Tốt
"15 Nov, 3:00 PM",12,AQI US - Tốt
"15 Nov, 4:00 PM",21,AQI US - Tốt
"15 Nov, 5:00 PM",33,AQI US - Tốt
"15 Nov, 6:00 PM",33,AQI US - Tốt
"15 Nov, 7:00 PM",29,AQI US - Tốt
"15 Nov, 8:00 PM",25,AQI US - Tốt
"15 Nov, 9:00 PM",37,AQI US - Tốt
"15 Nov, 10:00 PM",41,AQI US - Tốt
"15 Nov, 11:00 PM",33,AQI US - Tốt
"16 Nov, 12:00 AM",33,AQI US - Tốt
"16 Nov, 1:00 AM",45,AQI US - Tốt
"16 Nov, 2:00 AM",53,AQI US - Trung bình
"16 Nov, 3:00 AM",65,AQI US - Trung bình
"16 Nov, 4:00 AM",57,AQI US - Trung bình
"16 Nov, 5:00 AM",57,AQI US - Trung bình
"16 Nov, 6:00 AM",61,AQI US - Trung bình
"16 Nov, 7:00 AM",71,AQI US - Trung bình
"16 Nov, 8:00 AM",55,AQI US - Trung bình
"16 Nov, 9:00 AM",55,AQI US - Trung bình
"16 Nov, 10:00 AM",59,AQI US - Trung bình
"16 Nov, 12:00 PM",25,AQI US - Tốt
"16 Nov, 1:00 PM",17,AQI US - Tốt
"16 Nov, 2:00 PM",17,AQI US - Tốt
"16 Nov, 3:00 PM",12,AQI US - Tốt
"16 Nov, 4:00 PM",21,AQI US - Tốt
"16 Nov, 5:00 PM",12,AQI US - Tốt
"16 Nov, 6:00 PM",17,AQI US - Tốt
"16 Nov, 7:00 PM",41,AQI US - Tốt
"16 Nov, 8:00 PM",53,AQI US - Trung bình
"16 Nov, 9:00 PM",45,AQI US - Tốt
"16 Nov, 10:00 PM",41,AQI US - Tốt
"16 Nov, 11:00 PM",33,AQI US - Tốt
"17 Nov, 12:00 AM",49,AQI US - Tốt
"17 Nov, 1:00 AM",45,AQI US - Tốt
"17 Nov, 2:00 AM",45,AQI US - Tốt
"17 Nov, 3:00 AM",49,AQI US - Tốt
"17 Nov, 4:00 AM",57,AQI US - Trung bình
"17 Nov, 5:00 AM",57,AQI US - Trung bình
"17 Nov, 6:00 AM",59,AQI US - Trung bình
"17 Nov, 7:00 AM",67,AQI US - Trung bình
"17 Nov, 8:00 AM",124,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"17 Nov, 9:00 AM",141,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"17 Nov, 10:00 AM",118,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"17 Nov, 11:00 AM",57,AQI US - Trung bình
"17 Nov, 12:00 PM",57,AQI US - Trung bình
"17 Nov, 1:00 PM",59,AQI US - Trung bình
"17 Nov, 2:00 PM",50,AQI US - Tốt
"17 Nov, 3:00 PM",57,AQI US - Trung bình
"17 Nov, 4:00 PM",50,AQI US - Tốt
"17 Nov, 5:00 PM",33,AQI US - Tốt
"17 Nov, 6:00 PM",45,AQI US - Tốt
"17 Nov, 7:00 PM",25,AQI US - Tốt
"17 Nov, 8:00 PM",21,AQI US - Tốt
"17 Nov, 9:00 PM",61,AQI US - Trung bình
"17 Nov, 10:00 PM",65,AQI US - Trung bình
"17 Nov, 11:00 PM",57,AQI US - Trung bình
"18 Nov, 12:00 AM",79,AQI US - Trung bình
"18 Nov, 1:00 AM",82,AQI US - Trung bình
"18 Nov, 2:00 AM",73,AQI US - Trung bình
"18 Nov, 3:00 AM",71,AQI US - Trung bình
"18 Nov, 4:00 AM",69,AQI US - Trung bình
"18 Nov, 5:00 AM",77,AQI US - Trung bình
"18 Nov, 6:00 AM",79,AQI US - Trung bình
"18 Nov, 7:00 AM",71,AQI US - Trung bình
"18 Nov, 8:00 AM",69,AQI US - Trung bình
"18 Nov, 9:00 AM",77,AQI US - Trung bình
"18 Nov, 10:00 AM",63,AQI US - Trung bình
"18 Nov, 2:00 PM",45,AQI US - Tốt
"18 Nov, 3:00 PM",17,AQI US - Tốt
"18 Nov, 5:00 PM",21,AQI US - Tốt
"18 Nov, 6:00 PM",29,AQI US - Tốt
"18 Nov, 7:00 PM",53,AQI US - Trung bình
"18 Nov, 8:00 PM",61,AQI US - Trung bình
"18 Nov, 9:00 PM",57,AQI US - Trung bình
"18 Nov, 10:00 PM",49,AQI US - Tốt
"18 Nov, 11:00 PM",45,AQI US - Tốt
"19 Nov, 12:00 AM",80,AQI US - Trung bình
"19 Nov, 1:00 AM",100,AQI US - Trung bình
"19 Nov, 2:00 AM",115,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"19 Nov, 3:00 AM",118,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"19 Nov, 4:00 AM",105,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"19 Nov, 5:00 AM",75,AQI US - Trung bình
"19 Nov, 6:00 AM",81,AQI US - Trung bình
"19 Nov, 7:00 AM",84,AQI US - Trung bình
"19 Nov, 8:00 AM",71,AQI US - Trung bình
"19 Nov, 9:00 AM",57,AQI US - Trung bình
