timestamp,value,rating
"Sun, 17 October",10.6,PM2.5 µg/m³ - Tốt
"Mon, 18 October",6.5,PM2.5 µg/m³ - Tốt
"Tue, 19 October",7.5,PM2.5 µg/m³ - Tốt
"Wed, 20 October",19.9,PM2.5 µg/m³ - Tốt
"Thu, 21 October",10.7,PM2.5 µg/m³ - Tốt
"Fri, 22 October",14.1,PM2.5 µg/m³ - Tốt
"Sat, 23 October",12.4,PM2.5 µg/m³ - Tốt
"Sun, 24 October",11.8,PM2.5 µg/m³ - Tốt
"Mon, 25 October",11.4,PM2.5 µg/m³ - Tốt
"Tue, 26 October",15,PM2.5 µg/m³ - Tốt
"Wed, 27 October",11.1,PM2.5 µg/m³ - Tốt
"Thu, 28 October",7,PM2.5 µg/m³ - Tốt
"Fri, 29 October",12.6,PM2.5 µg/m³ - Tốt
"Sat, 30 October",10.7,PM2.5 µg/m³ - Tốt
"Sun, 31 October",11.7,PM2.5 µg/m³ - Tốt
"Mon, 01 November",12.8,PM2.5 µg/m³ - Tốt
"Tue, 02 November",16.5,PM2.5 µg/m³ - Tốt
"Wed, 03 November",8.8,PM2.5 µg/m³ - Tốt
"Thu, 04 November",8.2,PM2.5 µg/m³ - Tốt
"Fri, 05 November",16,PM2.5 µg/m³ - Tốt
"Sat, 06 November",9.5,PM2.5 µg/m³ - Tốt
"Sun, 07 November",9.5,PM2.5 µg/m³ - Tốt
"Mon, 08 November",6.3,PM2.5 µg/m³ - Tốt
"Tue, 09 November",16,PM2.5 µg/m³ - Tốt
"Wed, 10 November",9.2,PM2.5 µg/m³ - Tốt
"Thu, 11 November",9.7,PM2.5 µg/m³ - Tốt
"Fri, 12 November",7,PM2.5 µg/m³ - Tốt
"Sat, 13 November",10.9,PM2.5 µg/m³ - Tốt
"Sun, 14 November",15.7,PM2.5 µg/m³ - Tốt
"Mon, 15 November",10.1,PM2.5 µg/m³ - Tốt
"Tue, 16 November",10.3,PM2.5 µg/m³ - Tốt
"Wed, 17 November",20.5,PM2.5 µg/m³ - Tốt
"Thu, 18 November",20.6,PM2.5 µg/m³ - Tốt
"Fri, 19 November",16.5,PM2.5 µg/m³ - Tốt
"Mon, 22 November",11,PM2.5 µg/m³ - Tốt
"Tue, 23 November",17.3,PM2.5 µg/m³ - Tốt
"Wed, 24 November",13.4,PM2.5 µg/m³ - Tốt
"Thu, 25 November",10.8,PM2.5 µg/m³ - Tốt
"Fri, 26 November",10.4,PM2.5 µg/m³ - Tốt
