timestamp,value,rating
"Wed, 20 October",78,AQI US - Trung bình
"Thu, 21 October",74,AQI US - Trung bình
"Fri, 22 October",71,AQI US - Trung bình
"Sat, 23 October",79,AQI US - Trung bình
"Sun, 24 October",73,AQI US - Trung bình
"Mon, 25 October",68,AQI US - Trung bình
"Tue, 26 October",84,AQI US - Trung bình
"Wed, 27 October",70,AQI US - Trung bình
"Thu, 28 October",52,AQI US - Trung bình
"Fri, 29 October",72,AQI US - Trung bình
"Sat, 30 October",68,AQI US - Trung bình
"Sun, 31 October",71,AQI US - Trung bình
"Mon, 01 November",84,AQI US - Trung bình
"Tue, 02 November",38,AQI US - Tốt
"Wed, 03 November",10,AQI US - Tốt
"Thu, 04 November",10,AQI US - Tốt
"Fri, 05 November",63,AQI US - Trung bình
"Sat, 06 November",69,AQI US - Trung bình
"Sun, 07 November",76,AQI US - Trung bình
"Mon, 08 November",67,AQI US - Trung bình
"Tue, 09 November",104,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Wed, 10 November",70,AQI US - Trung bình
"Thu, 11 November",73,AQI US - Trung bình
"Fri, 12 November",63,AQI US - Trung bình
"Sat, 13 November",78,AQI US - Trung bình
"Sun, 14 November",82,AQI US - Trung bình
"Mon, 15 November",77,AQI US - Trung bình
"Tue, 16 November",78,AQI US - Trung bình
"Wed, 17 November",108,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Thu, 18 November",111,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Fri, 19 November",83,AQI US - Trung bình
"Sat, 20 November",126,AQI US - Không lành mạnh cho các nhóm nhạy cảm
