timestamp,value,rating
"Wed, 20 October",25,PM2.5 µg/m³ - Tốt
"Thu, 21 October",23,PM2.5 µg/m³ - Tốt
"Fri, 22 October",21.6,PM2.5 µg/m³ - Tốt
"Sat, 23 October",25.5,PM2.5 µg/m³ - Tốt
"Sun, 24 October",22.4,PM2.5 µg/m³ - Tốt
"Mon, 25 October",20,PM2.5 µg/m³ - Tốt
"Tue, 26 October",27.7,PM2.5 µg/m³ - Tốt
"Wed, 27 October",21.3,PM2.5 µg/m³ - Tốt
"Thu, 28 October",12.5,PM2.5 µg/m³ - Tốt
"Fri, 29 October",22.2,PM2.5 µg/m³ - Tốt
"Sat, 30 October",20.4,PM2.5 µg/m³ - Tốt
"Sun, 31 October",21.6,PM2.5 µg/m³ - Tốt
"Mon, 01 November",27.8,PM2.5 µg/m³ - Tốt
"Tue, 02 November",9.1,PM2.5 µg/m³ - Tốt
"Wed, 03 November",2.4,PM2.5 µg/m³ - Tốt
"Thu, 04 November",2.4,PM2.5 µg/m³ - Tốt
"Fri, 05 November",17.9,PM2.5 µg/m³ - Tốt
"Sat, 06 November",20.9,PM2.5 µg/m³ - Tốt
"Sun, 07 November",23.9,PM2.5 µg/m³ - Tốt
"Mon, 08 November",19.6,PM2.5 µg/m³ - Tốt
"Tue, 09 November",36.7,PM2.5 µg/m³ - Tốt
"Wed, 10 November",21.4,PM2.5 µg/m³ - Tốt
"Thu, 11 November",22.7,PM2.5 µg/m³ - Tốt
"Fri, 12 November",17.9,PM2.5 µg/m³ - Tốt
"Sat, 13 November",24.8,PM2.5 µg/m³ - Tốt
"Sun, 14 November",27.1,PM2.5 µg/m³ - Tốt
"Mon, 15 November",24.7,PM2.5 µg/m³ - Tốt
"Tue, 16 November",24.8,PM2.5 µg/m³ - Tốt
"Wed, 17 November",38.3,PM2.5 µg/m³ - Tốt
"Thu, 18 November",39.5,PM2.5 µg/m³ - Tốt
"Fri, 19 November",27.2,PM2.5 µg/m³ - Tốt
"Sat, 20 November",44.8,PM2.5 µg/m³ - Tốt
"Sun, 21 November",30.3,PM2.5 µg/m³ - Tốt
"Mon, 22 November",23.3,PM2.5 µg/m³ - Tốt
"Tue, 23 November",37.5,PM2.5 µg/m³ - Tốt
"Wed, 24 November",34.3,PM2.5 µg/m³ - Tốt
"Thu, 25 November",26.2,PM2.5 µg/m³ - Tốt
"Fri, 26 November",29.5,PM2.5 µg/m³ - Tốt
