timestamp,value,rating
"Fri, 15 October",66,AQI US - Trung bình
"Sat, 16 October",65,AQI US - Trung bình
"Sun, 17 October",60,AQI US - Trung bình
"Mon, 18 October",26,AQI US - Tốt
"Tue, 19 October",44,AQI US - Tốt
"Wed, 20 October",94,AQI US - Trung bình
"Thu, 21 October",72,AQI US - Trung bình
"Fri, 22 October",66,AQI US - Trung bình
"Sat, 23 October",81,AQI US - Trung bình
"Sun, 24 October",70,AQI US - Trung bình
"Mon, 25 October",58,AQI US - Trung bình
"Tue, 26 October",81,AQI US - Trung bình
"Wed, 27 October",70,AQI US - Trung bình
"Thu, 28 October",45,AQI US - Tốt
"Fri, 29 October",64,AQI US - Trung bình
"Sat, 30 October",68,AQI US - Trung bình
"Sun, 31 October",64,AQI US - Trung bình
"Mon, 01 November",68,AQI US - Trung bình
"Tue, 02 November",73,AQI US - Trung bình
"Wed, 03 November",58,AQI US - Trung bình
"Thu, 04 November",58,AQI US - Trung bình
"Fri, 05 November",70,AQI US - Trung bình
"Sat, 06 November",53,AQI US - Trung bình
"Sun, 07 November",63,AQI US - Trung bình
"Mon, 08 November",52,AQI US - Trung bình
"Tue, 09 November",85,AQI US - Trung bình
"Wed, 10 November",60,AQI US - Trung bình
"Thu, 11 November",60,AQI US - Trung bình
"Fri, 12 November",52,AQI US - Trung bình
"Sat, 13 November",63,AQI US - Trung bình
"Sun, 14 November",80,AQI US - Trung bình
"Mon, 15 November",64,AQI US - Trung bình
"Tue, 16 November",63,AQI US - Trung bình
"Wed, 17 November",89,AQI US - Trung bình
"Thu, 18 November",98,AQI US - Trung bình
"Fri, 19 November",72,AQI US - Trung bình
"Sat, 20 November",121,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"Sun, 21 November",81,AQI US - Trung bình
"Mon, 22 November",67,AQI US - Trung bình
"Tue, 23 November",85,AQI US - Trung bình
"Wed, 24 November",77,AQI US - Trung bình
"Thu, 25 November",67,AQI US - Trung bình
"Fri, 26 November",74,AQI US - Trung bình
