timestamp,value,rating
"12 Nov, 10:00 PM",37,AQI US - Tốt
"12 Nov, 11:00 PM",45,AQI US - Tốt
"13 Nov, 12:00 AM",37,AQI US - Tốt
"13 Nov, 1:00 AM",33,AQI US - Tốt
"13 Nov, 2:00 AM",45,AQI US - Tốt
"13 Nov, 3:00 AM",57,AQI US - Trung bình
"13 Nov, 4:00 AM",63,AQI US - Trung bình
"13 Nov, 5:00 AM",82,AQI US - Trung bình
"13 Nov, 6:00 AM",94,AQI US - Trung bình
"13 Nov, 7:00 AM",118,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"13 Nov, 8:00 AM",153,AQI US - Không lành mạnh
"13 Nov, 9:00 AM",111,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"13 Nov, 10:00 AM",82,AQI US - Trung bình
"13 Nov, 11:00 AM",61,AQI US - Trung bình
"13 Nov, 12:00 PM",41,AQI US - Tốt
"13 Nov, 1:00 PM",33,AQI US - Tốt
"13 Nov, 2:00 PM",29,AQI US - Tốt
"13 Nov, 3:00 PM",33,AQI US - Tốt
"13 Nov, 4:00 PM",29,AQI US - Tốt
"13 Nov, 5:00 PM",45,AQI US - Tốt
"13 Nov, 6:00 PM",37,AQI US - Tốt
"13 Nov, 7:00 PM",41,AQI US - Tốt
"13 Nov, 8:00 PM",37,AQI US - Tốt
"13 Nov, 9:00 PM",33,AQI US - Tốt
"13 Nov, 10:00 PM",49,AQI US - Tốt
"13 Nov, 11:00 PM",49,AQI US - Tốt
"14 Nov, 12:00 AM",59,AQI US - Trung bình
"14 Nov, 1:00 AM",65,AQI US - Trung bình
"14 Nov, 2:00 AM",55,AQI US - Trung bình
"14 Nov, 3:00 AM",78,AQI US - Trung bình
"14 Nov, 4:00 AM",76,AQI US - Trung bình
"14 Nov, 5:00 AM",57,AQI US - Trung bình
"14 Nov, 6:00 AM",55,AQI US - Trung bình
"14 Nov, 7:00 AM",65,AQI US - Trung bình
"14 Nov, 8:00 AM",80,AQI US - Trung bình
"14 Nov, 9:00 AM",84,AQI US - Trung bình
"14 Nov, 10:00 AM",98,AQI US - Trung bình
"14 Nov, 11:00 AM",114,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"14 Nov, 12:00 PM",109,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"14 Nov, 1:00 PM",102,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"14 Nov, 2:00 PM",76,AQI US - Trung bình
"14 Nov, 3:00 PM",61,AQI US - Trung bình
"14 Nov, 4:00 PM",21,AQI US - Tốt
"14 Nov, 5:00 PM",33,AQI US - Tốt
"14 Nov, 6:00 PM",37,AQI US - Tốt
"14 Nov, 7:00 PM",41,AQI US - Tốt
"14 Nov, 8:00 PM",45,AQI US - Tốt
"14 Nov, 9:00 PM",69,AQI US - Trung bình
