timestamp,value,rating
"22 Nov, 5:00 PM",25,AQI US - Tốt
"22 Nov, 6:00 PM",37,AQI US - Tốt
"22 Nov, 7:00 PM",94,AQI US - Trung bình
"22 Nov, 8:00 PM",67,AQI US - Trung bình
"22 Nov, 9:00 PM",59,AQI US - Trung bình
"22 Nov, 10:00 PM",49,AQI US - Tốt
"22 Nov, 11:00 PM",55,AQI US - Trung bình
"23 Nov, 12:00 AM",45,AQI US - Tốt
"23 Nov, 1:00 AM",61,AQI US - Trung bình
"23 Nov, 2:00 AM",63,AQI US - Trung bình
"23 Nov, 3:00 AM",76,AQI US - Trung bình
"23 Nov, 4:00 AM",80,AQI US - Trung bình
"23 Nov, 5:00 AM",82,AQI US - Trung bình
"23 Nov, 6:00 AM",90,AQI US - Trung bình
"23 Nov, 7:00 AM",132,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"23 Nov, 8:00 AM",135,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"23 Nov, 9:00 AM",157,AQI US - Không lành mạnh
"23 Nov, 10:00 AM",106,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"23 Nov, 11:00 AM",74,AQI US - Trung bình
"23 Nov, 12:00 PM",114,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"23 Nov, 1:00 PM",80,AQI US - Trung bình
"23 Nov, 2:00 PM",82,AQI US - Trung bình
"23 Nov, 3:00 PM",76,AQI US - Trung bình
"23 Nov, 4:00 PM",69,AQI US - Trung bình
"23 Nov, 5:00 PM",90,AQI US - Trung bình
"23 Nov, 6:00 PM",106,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"23 Nov, 7:00 PM",160,AQI US - Không lành mạnh
"23 Nov, 8:00 PM",146,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"23 Nov, 9:00 PM",141,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"24 Nov, 1:00 AM",53,AQI US - Trung bình
"24 Nov, 2:00 AM",45,AQI US - Tốt
"24 Nov, 3:00 AM",53,AQI US - Trung bình
"24 Nov, 4:00 AM",75,AQI US - Trung bình
"24 Nov, 5:00 AM",154,AQI US - Không lành mạnh
"24 Nov, 6:00 AM",111,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"24 Nov, 7:00 AM",86,AQI US - Trung bình
"24 Nov, 8:00 AM",90,AQI US - Trung bình
"24 Nov, 9:00 AM",116,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"24 Nov, 10:00 AM",106,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"24 Nov, 11:00 AM",121,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"24 Nov, 12:00 PM",152,AQI US - Không lành mạnh
"24 Nov, 1:00 PM",65,AQI US - Trung bình
"24 Nov, 2:00 PM",55,AQI US - Trung bình
"24 Nov, 3:00 PM",67,AQI US - Trung bình
"24 Nov, 5:00 PM",111,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"24 Nov, 6:00 PM",76,AQI US - Trung bình
"24 Nov, 7:00 PM",123,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"24 Nov, 8:00 PM",82,AQI US - Trung bình
"24 Nov, 9:00 PM",63,AQI US - Trung bình
"24 Nov, 10:00 PM",61,AQI US - Trung bình
"24 Nov, 11:00 PM",59,AQI US - Trung bình
"25 Nov, 12:00 AM",80,AQI US - Trung bình
"25 Nov, 1:00 AM",78,AQI US - Trung bình
"25 Nov, 2:00 AM",80,AQI US - Trung bình
"25 Nov, 3:00 AM",78,AQI US - Trung bình
"25 Nov, 4:00 AM",73,AQI US - Trung bình
"25 Nov, 5:00 AM",74,AQI US - Trung bình
"25 Nov, 6:00 AM",101,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"25 Nov, 7:00 AM",92,AQI US - Trung bình
"25 Nov, 8:00 AM",92,AQI US - Trung bình
"25 Nov, 9:00 AM",65,AQI US - Trung bình
"25 Nov, 10:00 AM",78,AQI US - Trung bình
"25 Nov, 11:00 AM",82,AQI US - Trung bình
"25 Nov, 12:00 PM",121,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"25 Nov, 1:00 PM",107,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"25 Nov, 2:00 PM",72,AQI US - Trung bình
"25 Nov, 3:00 PM",72,AQI US - Trung bình
"25 Nov, 4:00 PM",67,AQI US - Trung bình
"25 Nov, 5:00 PM",57,AQI US - Trung bình
"25 Nov, 6:00 PM",78,AQI US - Trung bình
"25 Nov, 7:00 PM",96,AQI US - Trung bình
"25 Nov, 8:00 PM",96,AQI US - Trung bình
"25 Nov, 9:00 PM",59,AQI US - Trung bình
"25 Nov, 10:00 PM",37,AQI US - Tốt
"25 Nov, 11:00 PM",37,AQI US - Tốt
"26 Nov, 12:00 AM",33,AQI US - Tốt
"26 Nov, 1:00 AM",21,AQI US - Tốt
"26 Nov, 2:00 AM",21,AQI US - Tốt
"26 Nov, 3:00 AM",29,AQI US - Tốt
"26 Nov, 4:00 AM",33,AQI US - Tốt
"26 Nov, 7:00 AM",109,AQI US - Không lành mạnh cho các nhóm nhạy cảm
"26 Nov, 8:00 AM",92,AQI US - Trung bình
"26 Nov, 9:00 AM",80,AQI US - Trung bình
"26 Nov, 10:00 AM",82,AQI US - Trung bình
"26 Nov, 11:00 AM",72,AQI US - Trung bình
"26 Nov, 12:00 PM",152,AQI US - Không lành mạnh
"26 Nov, 1:00 PM",84,AQI US - Trung bình
"26 Nov, 2:00 PM",69,AQI US - Trung bình
"26 Nov, 3:00 PM",70,AQI US - Trung bình
"26 Nov, 4:00 PM",69,AQI US - Trung bình
