timestamp,value,rating
"22 Nov, 5:00 PM",6,PM2.5 µg/m³ - Tốt
"22 Nov, 6:00 PM",9,PM2.5 µg/m³ - Tốt
"22 Nov, 7:00 PM",32.7,PM2.5 µg/m³ - Tốt
"22 Nov, 8:00 PM",19.9,PM2.5 µg/m³ - Tốt
"22 Nov, 9:00 PM",15.9,PM2.5 µg/m³ - Tốt
"22 Nov, 10:00 PM",12,PM2.5 µg/m³ - Tốt
"22 Nov, 11:00 PM",13.9,PM2.5 µg/m³ - Tốt
"23 Nov, 12:00 AM",11,PM2.5 µg/m³ - Tốt
"23 Nov, 1:00 AM",16.9,PM2.5 µg/m³ - Tốt
"23 Nov, 2:00 AM",17.9,PM2.5 µg/m³ - Tốt
"23 Nov, 3:00 AM",23.8,PM2.5 µg/m³ - Tốt
"23 Nov, 4:00 AM",25.8,PM2.5 µg/m³ - Tốt
"23 Nov, 5:00 AM",26.8,PM2.5 µg/m³ - Tốt
"23 Nov, 6:00 AM",30.7,PM2.5 µg/m³ - Tốt
"23 Nov, 7:00 AM",48.2,PM2.5 µg/m³ - Tốt
"23 Nov, 8:00 AM",49.2,PM2.5 µg/m³ - Tốt
"23 Nov, 9:00 AM",66.8,PM2.5 µg/m³ - Trung bình
"23 Nov, 10:00 AM",37.7,PM2.5 µg/m³ - Tốt
"23 Nov, 11:00 AM",22.9,PM2.5 µg/m³ - Tốt
"23 Nov, 12:00 PM",40.7,PM2.5 µg/m³ - Tốt
"23 Nov, 1:00 PM",25.9,PM2.5 µg/m³ - Tốt
"23 Nov, 2:00 PM",26.9,PM2.5 µg/m³ - Tốt
"23 Nov, 3:00 PM",23.8,PM2.5 µg/m³ - Tốt
"23 Nov, 4:00 PM",20.9,PM2.5 µg/m³ - Tốt
"23 Nov, 5:00 PM",30.7,PM2.5 µg/m³ - Tốt
"23 Nov, 6:00 PM",37.5,PM2.5 µg/m³ - Tốt
"23 Nov, 7:00 PM",72.6,PM2.5 µg/m³ - Trung bình
"23 Nov, 8:00 PM",54.1,PM2.5 µg/m³ - Trung bình
"23 Nov, 9:00 PM",52,PM2.5 µg/m³ - Trung bình
"24 Nov, 1:00 AM",12.9,PM2.5 µg/m³ - Tốt
"24 Nov, 2:00 AM",11,PM2.5 µg/m³ - Tốt
"24 Nov, 3:00 AM",12.9,PM2.5 µg/m³ - Tốt
"24 Nov, 4:00 AM",23.8,PM2.5 µg/m³ - Tốt
"24 Nov, 5:00 AM",60.7,PM2.5 µg/m³ - Trung bình
"24 Nov, 6:00 AM",39.5,PM2.5 µg/m³ - Tốt
"24 Nov, 7:00 AM",28.8,PM2.5 µg/m³ - Tốt
"24 Nov, 8:00 AM",30.8,PM2.5 µg/m³ - Tốt
"24 Nov, 9:00 AM",41.6,PM2.5 µg/m³ - Tốt
"24 Nov, 10:00 AM",37.7,PM2.5 µg/m³ - Tốt
"24 Nov, 11:00 AM",43.7,PM2.5 µg/m³ - Tốt
"24 Nov, 12:00 PM",57.5,PM2.5 µg/m³ - Trung bình
"24 Nov, 1:00 PM",19,PM2.5 µg/m³ - Tốt
"24 Nov, 2:00 PM",14,PM2.5 µg/m³ - Tốt
"24 Nov, 3:00 PM",19.9,PM2.5 µg/m³ - Tốt
"24 Nov, 5:00 PM",39.7,PM2.5 µg/m³ - Tốt
"24 Nov, 6:00 PM",23.9,PM2.5 µg/m³ - Tốt
"24 Nov, 7:00 PM",44.5,PM2.5 µg/m³ - Tốt
"24 Nov, 8:00 PM",26.9,PM2.5 µg/m³ - Tốt
"24 Nov, 9:00 PM",17.9,PM2.5 µg/m³ - Tốt
"24 Nov, 10:00 PM",16.9,PM2.5 µg/m³ - Tốt
"24 Nov, 11:00 PM",15.9,PM2.5 µg/m³ - Tốt
"25 Nov, 12:00 AM",25.8,PM2.5 µg/m³ - Tốt
"25 Nov, 1:00 AM",24.8,PM2.5 µg/m³ - Tốt
"25 Nov, 2:00 AM",25.8,PM2.5 µg/m³ - Tốt
"25 Nov, 3:00 AM",24.8,PM2.5 µg/m³ - Tốt
"25 Nov, 4:00 AM",22.8,PM2.5 µg/m³ - Tốt
"25 Nov, 5:00 AM",22.9,PM2.5 µg/m³ - Tốt
"25 Nov, 6:00 AM",35.6,PM2.5 µg/m³ - Tốt
"25 Nov, 7:00 AM",31.7,PM2.5 µg/m³ - Tốt
"25 Nov, 8:00 AM",31.8,PM2.5 µg/m³ - Tốt
"25 Nov, 9:00 AM",18.9,PM2.5 µg/m³ - Tốt
"25 Nov, 10:00 AM",24.9,PM2.5 µg/m³ - Tốt
"25 Nov, 11:00 AM",26.9,PM2.5 µg/m³ - Tốt
"25 Nov, 12:00 PM",43.7,PM2.5 µg/m³ - Tốt
"25 Nov, 1:00 PM",37.8,PM2.5 µg/m³ - Tốt
"25 Nov, 2:00 PM",21.9,PM2.5 µg/m³ - Tốt
"25 Nov, 3:00 PM",21.9,PM2.5 µg/m³ - Tốt
"25 Nov, 4:00 PM",19.9,PM2.5 µg/m³ - Tốt
"25 Nov, 5:00 PM",15,PM2.5 µg/m³ - Tốt
"25 Nov, 6:00 PM",24.9,PM2.5 µg/m³ - Tốt
"25 Nov, 7:00 PM",33.8,PM2.5 µg/m³ - Tốt
"25 Nov, 8:00 PM",33.8,PM2.5 µg/m³ - Tốt
"25 Nov, 9:00 PM",16,PM2.5 µg/m³ - Tốt
"25 Nov, 10:00 PM",9,PM2.5 µg/m³ - Tốt
"25 Nov, 11:00 PM",9,PM2.5 µg/m³ - Tốt
"26 Nov, 12:00 AM",8,PM2.5 µg/m³ - Tốt
