station,timestamp,aqi,rating_aqi,pm2.5,rating_pm2.5
"Long Phuoc, District 9","24 Nov 2021, 4:00 AM",4,AQI US - Tốt,1,PM2.5 µg/m³ - Tốt
"Long Phuoc, District 9","24 Nov 2021, 5:00 AM",4,AQI US - Tốt,1,PM2.5 µg/m³ - Tốt
"Long Phuoc, District 9","24 Nov 2021, 6:00 AM",8,AQI US - Tốt,2,PM2.5 µg/m³ - Tốt
"Long Phuoc, District 9","24 Nov 2021, 7:00 AM",4,AQI US - Tốt,1,PM2.5 µg/m³ - Tốt
"Long Phuoc, District 9","24 Nov 2021, 8:00 AM",4,AQI US - Tốt,1,PM2.5 µg/m³ - Tốt
"Long Phuoc, District 9","24 Nov 2021, 9:00 AM",4,AQI US - Tốt,1,PM2.5 µg/m³ - Tốt
"Long Phuoc, District 9","24 Nov 2021, 12:00 PM",4,AQI US - Tốt,1,PM2.5 µg/m³ - Tốt
"Long Phuoc, District 9","24 Nov 2021, 10:00 PM",4,AQI US - Tốt,1,PM2.5 µg/m³ - Tốt
"Long Phuoc, District 9","24 Nov 2021, 11:00 PM",4,AQI US - Tốt,1,PM2.5 µg/m³ - Tốt
"Long Phuoc, District 9","25 Nov 2021, 1:00 AM",4,AQI US - Tốt,1,PM2.5 µg/m³ - Tốt
"Long Phuoc, District 9","25 Nov 2021, 2:00 AM",8,AQI US - Tốt,2,PM2.5 µg/m³ - Tốt
"Long Phuoc, District 9","25 Nov 2021, 3:00 AM",4,AQI US - Tốt,1,PM2.5 µg/m³ - Tốt
"Long Phuoc, District 9","25 Nov 2021, 4:00 AM",4,AQI US - Tốt,1,PM2.5 µg/m³ - Tốt
"Long Phuoc, District 9","25 Nov 2021, 7:00 AM",4,AQI US - Tốt,1,PM2.5 µg/m³ - Tốt
"Long Phuoc, District 9","25 Nov 2021, 11:00 AM",8,AQI US - Tốt,2,PM2.5 µg/m³ - Tốt
"Long Phuoc, District 9","25 Nov 2021, 5:00 PM",4,AQI US - Tốt,1,PM2.5 µg/m³ - Tốt
"Long Phuoc, District 9","25 Nov 2021, 8:00 PM",4,AQI US - Tốt,1,PM2.5 µg/m³ - Tốt
