location,url,vn_no_accent,lat,long
"Long Phuoc, District 9",https://www.iqair.com/vi/vietnam/ho-chi-minh-city/long-phuoc-district-9,"Long Phuoc, District 9",10.801980,106.858566
THCS Thanh My Loi,https://www.iqair.com/vi/vietnam/ho-chi-minh-city/thcs-thanh-my-loi,THCS Thanh My Loi,10.774820,106.770840
Lycee Francais International Marguerite Duras,https://www.iqair.com/vi/vietnam/ho-chi-minh-city/lycee-francais-international-marguerite-duras,Lycee Francais International Marguerite Duras,10.819714,106.781904
VSTARSCHOOL,https://www.iqair.com/vi/vietnam/ho-chi-minh-city/vstarschool,VSTARSCHOOL,10.7285976,106.7005364
Vo Thi Sau High School,https://www.iqair.com/vi/vietnam/ho-chi-minh-city/vo-thi-sau-high-school,Vo Thi Sau High School,10.7984613,106.6962504
Diamond Island,https://www.iqair.com/vi/vietnam/ho-chi-minh-city/diamond-island,Diamond Island,10.8114216,106.7549195
IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,https://www.iqair.com/vi/vietnam/ho-chi-minh-city/iqair-showroom-saigon-pearl-outdoor-air-quality-monitoring-station,IQAir Showroom - Saigon Pearl - Outdoor Air Quality Monitoring Station,10.874360,106.734161
Saigon South International School,https://www.iqair.com/vi/vietnam/ho-chi-minh-city/saigon-south-international-school,Saigon South International School,10.7230936,106.7088458
SimCity Premier District 9,https://www.iqair.com/vi/vietnam/ho-chi-minh-city/simcity-premier-district-9,SimCity Premier District 9,10.7419664,106.651399
US Consulate in Ho Chi Minh City,https://www.iqair.com/vi/vietnam/ho-chi-minh-city/us-consulate-in-ho-chi-minh-city,US Consulate in Ho Chi Minh City,10.78307695,106.70025919305134
Mam non Hai Au Bay,https://www.iqair.com/vi/vietnam/ho-chi-minh-city/mam-non-hai-au-bay,Mam non Hai Au Bay,10.7940773,106.6737931
Ap Xuan Thoi Dong 2,https://www.iqair.com/vi/vietnam/ho-chi-minh-city/ap-xuan-thoi-dong-2,Ap Xuan Thoi Dong 2,10.878345,106.57635314823773
SSIS OUTDOOR 3,https://www.iqair.com/vi/vietnam/ho-chi-minh-city/ssis-outdoor-3,SSIS OUTDOOR 3,10.7230936,106.7088458
